p,next_p,gap,log_x,z_gap_over_logx
22013,22027,14,9.99938846691333,1.400085619868072
22073,22079,6,10.002110421141213,0.599873401449153
22247,22259,12,10.009962447043133,1.1988056961736864
22409,22433,24,10.01721794286315,2.395874796464721
22447,22453,6,10.018912253951546,0.5988674067520202
22531,22541,10,10.022647417705386,0.9977403756950106
22651,22669,18,10.027959280046968,1.7949813613439098
22727,22739,12,10.031308923974013,1.1962546553940707
22877,22901,24,10.037887318015784,2.3909413644169244
22937,22943,6,10.040506606194215,0.5975794086225156
22961,22963,2,10.041552403492023,0.1991723908451133
22993,23003,10,10.042945100762001,0.9957238538764149
23041,23053,12,10.045030516645731,1.1946205618902468
23063,23071,8,10.045984880764673,0.7963380489769424
23333,23339,6,10.057623946547059,0.5965623721753779
23371,23399,28,10.059251216519025,2.7835073801536216
23593,23599,6,10.068705336846714,0.5959058090659213
23743,23747,4,10.075043029177243,0.39702063687629247
23893,23899,6,10.08134080799053,0.5951589291817577
23971,23977,6,10.08460004537341,0.5949665800333516
24223,24229,6,10.095057874011232,0.5943502330428863
24407,24413,6,10.102625255383492,0.593905034416942
24443,24469,26,10.10409915534325,2.573213069296799
25253,25261,8,10.136700239527121,0.7892114604321377
25561,25577,16,10.148823031356836,1.5765374911519072
25759,25763,4,10.156539359589003,0.39383493317765916
25771,25793,22,10.15700510770532,2.1659928066109106
26053,26083,30,10.16788820369854,2.950465170249176
26113,26119,6,10.170188553599166,0.5899595635202494
26393,26399,6,10.180854102460378,0.5893415168919862
26501,26513,12,10.184937747111391,1.1782104415319956
26669,26681,12,10.191257121160007,1.1774798591907292
26687,26693,6,10.191931834432474,0.588700954585427
26717,26723,6,10.19305534589812,0.5886360660657567
26863,26879,16,10.198505154086057,1.568857372552247
27017,27031,14,10.204221576482523,1.3719811839705183
27061,27067,6,10.205848855956967,0.5878981831577792
27067,27073,6,10.206070552676763,0.5878854128072208
27103,27107,4,10.207399701847889,0.3918725744888645
27283,27299,16,10.214019076585554,1.566474458294104
27509,27527,18,10.222268502839897,1.7608615930015274
27541,27551,10,10.223431082444048,0.9781451960068739
27701,27733,32,10.229223792606835,3.1282921019997607
27737,27739,2,10.230522540940477,0.19549343564773017
27799,27803,4,10.232755327808727,0.3909015579732983
27947,27953,6,10.238065138296543,0.5860482345981937
27953,27961,8,10.238279807349246,0.7813812623344634
28183,28201,18,10.246474238267561,1.7567018255679896
28607,28619,12,10.26140672210502,1.1694303057055246
28663,28669,6,10.263362371409995,0.5846037373399018
28703,28711,8,10.264756925901597,0.7793657519364323
29221,29231,10,10.282642907853932,0.972512620501676
29347,29363,16,10.286945605381202,1.5553693597475855
29611,29629,18,10.295901192899562,1.7482685257715442
29851,29863,12,10.303973619097128,1.1645992549669866
30047,30059,12,10.310518101368999,1.1638600390417506
30071,30089,18,10.311316531166229,1.7456548778804841
30089,30091,2,10.311914935439406,0.19395039743069575
30119,30133,14,10.312911480831472,1.3575215908738953
30307,30313,6,10.319133987918043,0.5814441412452811
30491,30493,2,10.32518683708304,0.19370109534647592
30593,30631,38,10.328526503601397,3.6791308021284537
30971,30977,6,10.340806561758198,0.5802255331019217
31033,31039,6,10.342806433400801,0.5801133414450985
31079,31081,2,10.34428762893178,0.19334342506159927
31139,31147,8,10.34621633183446,0.7732295308174308
31177,31181,4,10.347435922459987,0.3865691974296416
31271,31277,6,10.350446429473651,0.5796851412045921
31517,31531,14,10.35828236177716,1.3515754360646752
31531,31541,10,10.358726467862368,0.9653696360285885
32203,32213,10,10.379814894894523,0.9634083171289172
32299,32303,4,10.382791548979164,0.3852528466097617
32369,32371,2,10.38495645364112,0.19258626735009277
32371,32377,6,10.385018239245094,0.577755364677737
32381,32401,20,10.38532711001602,1.925793938711012
32561,32563,2,10.390870532175569,0.19247665475254977
32717,32719,2,10.395650099471604,0.1923881605154888
32749,32771,22,10.39662770624607,2.1160707704078767
32771,32779,8,10.397299256942858,0.7694305802209119
33023,33029,6,10.404959567375004,0.5766480841322191
33343,33347,4,10.414603134260247,0.3840760851310271
33767,33769,2,10.427239273188253,0.19180532330764058
34033,34039,6,10.435085921117388,0.5749832867075733
34127,34129,2,10.437844138828483,0.19161044880523334
34501,34511,10,10.448743588106625,0.9570528662778737
34543,34549,6,10.449960203748262,0.5741648659913441
34687,34693,6,10.454120255970487,0.5739363861414661
34883,34897,14,10.45975488349865,1.3384634875226813
35023,35027,4,10.463760267504872,0.3822717548701846
35129,35141,12,10.466782279155884,1.1464841514758024
35153,35159,6,10.467465242103236,0.5732046738370077
35221,35227,6,10.469397774605671,0.5730988667326655
35407,35419,12,10.474664819686861,1.1456213832681605
35447,35449,2,10.475793902145139,0.19091631800721642
35531,35533,2,10.478160833848387,0.19087319155659935
35863,35869,6,10.487461402332547,0.5721117599217598
36007,36011,4,10.49146864298082,0.38126216034359955
36131,36137,6,10.49490650158872,0.5717059031532792
36151,36161,10,10.4954598897216,0.9527929319031734
36353,36373,20,10.50103201050528,1.904574710370553
36643,36653,10,10.508977693165527,0.9515673447954374
36761,36767,6,10.51219277958166,0.5707657884332268
36899,36901,2,10.515939729390396,0.1901874726811447
37217,37223,6,10.524520925120765,0.570097208479934
37313,37321,8,10.527097070380183,0.7599435957049727
37337,37339,2,10.52774007107213,0.18997429519518172
37357,37361,4,10.528275589332711,0.3799292643947139
37517,37529,12,10.532549442567325,1.1393252949283077
37529,37537,8,10.532869246423687,0.7595271348038719
37561,37567,6,10.533721557035943,0.5695992596265592
37951,37957,6,10.544051132937742,0.5690412465145457
38261,38273,12,10.552186379610337,1.137205084169782
38333,38351,18,10.554066422987296,1.705503763060945
38543,38557,14,10.559529780142832,1.3258166122441326
38669,38671,2,10.562793524427303,0.18934385069393248
38921,38923,2,10.569289229700592,0.18922748318589216
38959,38971,12,10.57026509007593,1.1352600807775768
38977,38993,16,10.570727007554888,1.5136139632179335
39199,39209,10,10.576406515249081,0.9455007223466668
39241,39251,10,10.577477397554379,0.9454049982004313
39373,39383,10,10.580835581187099,0.9451049421635628
39439,39443,4,10.582510453425556,0.3779821449366205
39499,39503,4,10.58403063411305,0.37792785549086827
39671,39679,8,10.588375721156378,0.7555455350923553
39887,39901,14,10.593805735252527,1.3215269705591104
40099,40111,12,10.599106675327851,1.1321708864326356
40127,40129,2,10.599804703426894,0.18868272161216368
40177,40189,12,10.601049971569482,1.1319633462895
40277,40283,6,10.603535865409372,0.5658489843537071
40483,40487,4,10.608637411887223,0.3770512502876107
40493,40499,6,10.60888439864999,0.5655637081655369
40577,40583,6,10.610956682603621,0.5654532554860806
