window,midpoint,count,mean_gap,mean_expected,mean_residual,mae,rmse,relative_drift,model
8,212575.075,2032,12.298228346456693,12.307585315953066,-0.009356969496371772,7.274853859232544,9.903561877779602,0.5910870144286462,sinusoidal_log
9,237572.02500000002,2029,12.319369147363233,12.40930727666321,-0.08993812929997548,7.247112497876224,9.546914850366793,0.5840062089126485,sinusoidal_log
10,262568.975,1991,12.561526870919137,12.486320636026083,0.07520623489305407,7.4697780471121185,9.898079911795516,0.5982369238188538,sinusoidal_log
11,287565.92500000005,1957,12.769545222278998,12.569093166716431,0.2004520555625665,7.764607659758242,10.520391320302778,0.6177540063366942,sinusoidal_log
12,312562.875,2012,12.420477137176938,12.66524855449732,-0.24477141732037982,7.53995644705228,9.962660105863472,0.5953263699964978,sinusoidal_log
13,337559.825,1968,12.715447154471544,12.760086053200812,-0.04463889872926874,7.58924764515543,10.047175895199485,0.5947646131470798,sinusoidal_log
14,362556.775,1928,12.952282157676349,12.840438405879802,0.11184375179654814,7.804924452642817,10.773431383256106,0.6078394059402864,sinusoidal_log
15,387553.725,1955,12.791815856777493,12.903104876718729,-0.11128901994123341,7.618175996064342,10.072323967491435,0.5904141730886753,sinusoidal_log
16,412550.67500000005,1918,13.02919708029197,12.952475063447334,0.07672201684463438,7.846438904531241,10.477199040778162,0.6057868373492851,sinusoidal_log
17,437547.625,1928,12.971991701244812,12.996358388205268,-0.024366686960454426,7.881889338923536,10.354329812920158,0.6064690664483888,sinusoidal_log
18,462544.575,1910,13.080628272251309,13.043063909009499,0.037564363241811026,7.633615254630525,10.106995269126747,0.5852624282058148,sinusoidal_log
19,487541.525,1920,13.015625,13.094556227594861,-0.07893122759486038,7.7323235627841145,10.255003085427955,0.5904990920188172,sinusoidal_log
20,512538.47500000003,1906,13.117523609653725,13.151089840391387,-0.03356623073766213,7.823123642227689,10.425655399949886,0.594865044431547,sinusoidal_log
21,537535.425,1879,13.30814262905801,13.20903500581961,0.09910762323840082,8.244186112633802,11.144472744925256,0.6241323540290108,sinusoidal_log
22,562532.375,1880,13.28936170212766,13.265659838831162,0.023701863296495297,8.18635141668035,10.91373648488147,0.6171084978914739,sinusoidal_log
23,587529.325,1894,13.204857444561775,13.317257858148801,-0.11240041358702775,8.058368973451977,10.470022570930816,0.6051072269747393,sinusoidal_log
24,612526.275,1888,13.236228813559322,13.362772844129838,-0.1265440305705147,8.135612317944371,10.947712714492186,0.6088266569253463,sinusoidal_log
25,637523.2250000001,1846,13.556879739978331,13.401878094237816,0.15500164574051553,8.386247632238534,11.23591262650894,0.625751672509559,sinusoidal_log
26,662520.175,1853,13.475445223961144,13.434724042404023,0.04072118155712264,8.076202137318747,10.573617972004985,0.601143879980551,sinusoidal_log
27,687517.125,1858,13.454251883745963,13.46343006660924,-0.009178182863276419,8.11713557096249,10.772090448017089,0.6029024944463346,sinusoidal_log
28,712514.075,1875,13.3408,13.490051333926223,-0.14925133392622156,8.013388726694537,10.60598635716027,0.5940221077247949,sinusoidal_log
29,737511.025,1819,13.731720725673448,13.515995037158518,0.21572568851492885,8.300654230017741,11.18736073478386,0.614135637605472,sinusoidal_log
30,762507.9750000001,1865,13.398391420911528,13.54288999135282,-0.14449857044129238,8.093785574034705,10.514479732788123,0.5976409451160435,sinusoidal_log
31,787504.925,1848,13.530303030303031,13.571400392370291,-0.04109736206726171,8.367115001990273,10.975897306403846,0.6165255434283836,sinusoidal_log
32,812501.875,1845,13.544715447154472,13.60192539095625,-0.05720994380177956,8.218981634719817,11.082443879914601,0.6042513393129266,sinusoidal_log
33,837498.825,1821,13.733113673805601,13.634131681555813,0.09898199224978842,8.508974025519423,11.644772595626966,0.6240935781066514,sinusoidal_log
34,862495.775,1831,13.654833424358275,13.66796346183187,-0.013130037473595218,8.27383938881892,10.96873103129058,0.6053454424226274,sinusoidal_log
35,887492.7250000001,1826,13.68565169769989,13.702307353473085,-0.016655655773193556,8.332117617059389,10.905510697724477,0.6080813546302091,sinusoidal_log
36,912489.675,1832,13.64410480349345,13.737026975700598,-0.0929221722071482,8.461697930268036,10.955490370098056,0.6159773832602875,sinusoidal_log
37,937486.625,1799,13.891050583657588,13.7706166990729,0.12043388458468916,8.284182832724426,11.069548638638903,0.6015840113596477,sinusoidal_log
38,962483.575,1818,13.749174917491748,13.803122674251641,-0.05394775675989223,8.48544049279666,11.0933865876167,0.6147478866231776,sinusoidal_log
39,987480.525,1774,14.092446448703495,13.83353383402708,0.2589126146764162,8.494831059714603,11.275157774031468,0.6140752725684173,sinusoidal_log
0,12599.475,2745,9.11111111111111,9.045131283694824,0.06597982741628695,5.049206257705966,6.636521283913724,0.5582236563893662,local_rolling
1,37596.425,2373,10.530973451327434,10.56241565221911,-0.03144220089167621,6.04802797362153,8.213473730949511,0.5725989369061489,local_rolling
2,62593.375,2258,11.075287865367581,11.057118034736057,0.018169830631524893,6.3702067115602645,8.256009143689486,0.57611817939794,local_rolling
3,87590.32500000001,2197,11.376422394173874,11.375622247896255,0.0008001462776191266,6.736484394148494,8.846311210924313,0.5921860138590926,local_rolling
4,112587.275,2141,11.67211583372256,11.664541642558563,0.007574191163995663,6.894002919333533,9.261357560860855,0.5910221876340583,local_rolling
5,137584.225,2116,11.810018903591683,11.82660675239518,-0.016587848803497347,6.841142473783791,8.993084293832823,0.5784535342225944,local_rolling
6,162581.175,2068,12.088007736943908,12.092959130484955,-0.0049513935410501276,7.154372576489072,9.677785056051562,0.5916147155788961,local_rolling
7,187578.125,2069,12.086031899468342,12.09199870218587,-0.005966802717527345,7.258570735905844,9.753842319131222,0.6002788219447718,local_rolling
8,212575.075,2032,12.298228346456693,12.269415826299452,0.02881252015724303,7.258190259435198,9.89782104064969,0.5915677129368532,local_rolling
9,237572.02500000002,2029,12.319369147363233,12.3761537348696,-0.05678458750636636,7.226718269530354,9.539391776958462,0.5839227941366952,local_rolling
10,262568.975,1991,12.561526870919137,12.493770603639879,0.06775626727925523,7.466622099015763,9.900277997128642,0.597627596655286,local_rolling
11,287565.92500000005,1957,12.769545222278998,12.760739155330688,0.008806066948311358,7.8200739426760695,10.514731737040194,0.6128229601346644,local_rolling
12,312562.875,2012,12.420477137176938,12.472870455922289,-0.05239331874534943,7.4736143568744895,9.957897473553123,0.59918960782006,local_rolling
13,337559.825,1968,12.715447154471544,12.69652011966483,0.01892703480671359,7.569620558530831,10.049096048343406,0.5961964764507975,local_rolling
