window_index,window_midpoint,mode,singular_value,energy_share,cumulative_energy
9,139385.88338852683,6,0.006354373112531238,0.0027218870761400627,0.998855327173689
9,139385.88338852683,7,0.004120769730157676,0.0011446728263111246,1.0
9,139385.88338852683,8,7.853367130321434e-16,4.1575404231214057e-29,1.0
10,298356.1753207062,1,0.04504049686578226,0.35694333219105767,0.35694333219105767
10,298356.1753207062,2,0.04136805634532197,0.3011086006736496,0.6580519328647072
10,298356.1753207062,3,0.036263951187602395,0.23138924603356129,0.8894411788982685
10,298356.1753207062,4,0.018381040255128944,0.059447432215605424,0.9488886111138739
10,298356.1753207062,5,0.014747876001061616,0.038269420233363854,0.9871580313472378
10,298356.1753207062,6,0.007589415336928242,0.010134669001680585,0.9972927003489184
10,298356.1753207062,7,0.003922579006187033,0.002707299651081581,1.0
10,298356.1753207062,8,4.016882922640176e-16,2.83903845860185e-29,1.0
11,638633.0590800949,1,0.033676577560334695,0.441189375003908,0.441189375003908
11,638633.0590800949,2,0.025118042288155024,0.24543738842341284,0.6866267634273209
11,638633.0590800949,3,0.020598280953247016,0.16505591846432208,0.851682681891643
11,638633.0590800949,4,0.014889496114393814,0.08624405108093686,0.9379267329725798
11,638633.0590800949,5,0.009397552330946949,0.03435568817159597,0.9722824211441757
11,638633.0590800949,6,0.007026962296588923,0.019208983932855132,0.9914914050770308
11,638633.0590800949,7,0.004676752109538426,0.008508594922969195,1.0
11,638633.0590800949,8,1.9732035189185678e-16,1.5146521624400578e-29,1.0
12,1366996.8466130418,1,0.062156453038479775,0.6452561823642055,0.6452561823642055
12,1366996.8466130418,2,0.03135775956357531,0.16422897375833825,0.8094851561225437
12,1366996.8466130418,3,0.028158322269141917,0.13242600500581042,0.9419111611283542
12,1366996.8466130418,4,0.012767764540298657,0.027226352138938894,0.969137513267293
12,1366996.8466130418,5,0.010753063641106701,0.019311862459797803,0.9884493757270908
12,1366996.8466130418,6,0.008016818062237035,0.01073405416925736,0.9991834298963481
12,1366996.8466130418,7,0.002211143222254409,0.0008165701036517326,0.9999999999999999
12,1366996.8466130418,8,1.951592749557109e-16,6.361186364674131e-30,0.9999999999999999
