q_max,fit_count,slope,intercept,r2,slope_gap_to_1
359,71,0.8058708700186659,0.9101409356325622,0.9920485873592183,0.19412912998133414
367,72,0.8066204762661408,0.9092840100630903,0.9920567644202646,0.19337952373385925
373,73,0.8073601992290449,0.9084355367636259,0.9920643086458508,0.1926398007709551
379,74,0.8080904442734379,0.9075951695319197,0.9920712206466781,0.1919095557265621
383,75,0.8088351032859799,0.9067363520631855,0.9920714525877187,0.19116489671402015
389,76,0.8095703179244292,0.9058856935498544,0.992071321531413,0.19042968207557076
397,77,0.8102743101061395,0.9050677451829339,0.9920765401533697,0.18972568989386052
401,78,0.8109917010794735,0.9042325152445451,0.9920755702362758,0.1890082989205265
409,79,0.8116797939106408,0.9034281562840677,0.9920796417281503,0.18832020608935918
419,80,0.8123197176697148,0.9026764589863729,0.9920930805290114,0.18768028233028522
421,81,0.812993029107025,0.9018847855950685,0.9920958015999176,0.18700697089297502
431,82,0.813620920123254,0.9011430365844483,0.9921074419542738,0.18637907987674596
433,83,0.8142804492894312,0.900363191036147,0.9921088668138534,0.18571955071056878
439,84,0.8149334286055024,0.8995889522826515,0.9921097293906419,0.18506657139449756
443,85,0.8155977380642648,0.8987998406985057,0.992105360721185,0.18440226193573517
