label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5,window_index,left,right,midpoint,anchor_mod30
anchor_mod30_by_window,17,363,0.9026279878890408,0.7254074120495451,0.5568158836831869,1.8585846769871714,2.3539110044440927,1.543904956622004,1.530548338686563,0.7719524783110022,-0.7719524783110022,0.4111884395711905,0.46831955922865015,0.09090909090909091,0.008264462809917356,0.0,0.0,12,42501,73680,55959.57183538845,17
anchor_mod30_by_window,19,353,1.1711487582118967,0.790259769579954,0.9284562243255149,2.1757323192748834,2.579369071750732,1.5997648497664307,1.526015208791819,0.7998824248832155,-0.7998824248832155,0.4336592341886446,0.46175637393767704,0.17563739376770537,0.019830028328611898,0.0056657223796034,0.0,12,42501,73680,55959.57183538845,19
anchor_mod30_by_window,23,353,1.173270712184263,0.7199951624898996,0.7453814556845111,2.187977234512764,2.687968911205059,1.5321474295200748,1.3739711430364923,0.7660737147600376,-0.7660737147600376,0.40490833556200434,0.46458923512747874,0.11898016997167139,0.025495750708215296,0.0056657223796034,0.0,12,42501,73680,55959.57183538845,23
anchor_mod30_by_window,29,358,0.9095438473858869,0.7305332374272361,0.7366136579352596,1.7174088366269584,2.204966055700781,1.4673983728658146,1.4203103294812183,0.7336991864329074,-0.7336991864329077,0.37834268870083965,0.4273743016759777,0.05865921787709497,0.01675977653631285,0.002793296089385475,0.0,12,42501,73680,55959.57183538845,29
anchor_mod30_by_window,1,588,1.1029238178072505,0.680803639125622,0.8793574990230157,1.9053743446214069,2.4678155462160536,1.457238675111878,1.4011488349637276,0.7286193375559392,-0.728619337555939,0.3736793421012097,0.4523809523809524,0.07482993197278912,0.03571428571428571,0.0017006802721088435,0.0,13,73680,127731,97011.44303637587,1
anchor_mod30_by_window,7,589,0.8800308740625442,0.7399626572592327,0.5287323044374915,1.9216663689428501,2.562176534044266,1.4303318720592735,1.4802733352489978,0.7151659360296369,-0.7151659360296371,0.36298151363083364,0.29711375212224106,0.08149405772495756,0.030560271646859084,0.0050933786078098476,0.001697792869269949,13,73680,127731,97011.44303637587,7
anchor_mod30_by_window,11,600,0.8399177331050857,0.762842790638314,0.5329064254882678,1.7676113521700414,2.5602043045787357,1.4664436277462307,1.4172020260164335,0.7332218138731155,-0.7332218138731155,0.3697727780256471,0.335,0.08666666666666667,0.02,0.005,0.0016666666666666668,13,73680,127731,97011.44303637587,11
anchor_mod30_by_window,13,582,1.0169352882474052,0.8322147291362483,0.8518436452584628,2.390237804911951,2.67466043369351,1.4323683216666467,1.3550498029750295,0.7161841608333234,-0.7161841608333236,0.35870329954606095,0.3230240549828179,0.14432989690721648,0.03436426116838488,0.010309278350515464,0.001718213058419244,13,73680,127731,97011.44303637587,13
anchor_mod30_by_window,17,587,0.9402182137458583,0.8322414892079705,0.5308252618543174,2.13067255549443,2.573229016181273,1.442964654325979,1.4322280551459419,0.7214823271629897,-0.7214823271629897,0.3678680186720715,0.47018739352640543,0.151618398637138,0.027257240204429302,0.0017035775127768314,0.0017035775127768314,13,73680,127731,97011.44303637587,17
anchor_mod30_by_window,19,582,1.165914623987878,0.8852968697965777,0.8834020903118748,2.386402861340003,2.644064151788718,1.5089982825784278,1.4062521232966485,0.7544991412892139,-0.7544991412892142,0.3923112713326995,0.4587628865979381,0.14261168384879724,0.030927835051546393,0.01718213058419244,0.005154639175257732,13,73680,127731,97011.44303637587,19
anchor_mod30_by_window,23,601,1.1666340635326136,0.7498544475608355,0.7109362041058396,2.1127332085487036,2.575065600887177,1.5293922649929532,1.4638029954751615,0.7646961324964767,-0.7646961324964768,0.4030784666637962,0.4908485856905158,0.1447587354409318,0.036605657237936774,0.008319467554076539,0.0,13,73680,127731,97011.44303637587,23
anchor_mod30_by_window,29,561,0.8978079879917766,0.704736849940416,0.7087869051766742,1.7097326099731425,2.109374338838018,1.5071986190104627,1.5091568630823404,0.7535993095052314,-0.7535993095052317,0.3917131243698298,0.47237076648841353,0.06951871657754011,0.017825311942959002,0.0,0.0,13,73680,127731,97011.44303637587,29
anchor_mod30_by_window,1,955,1.108964404116685,0.7706751130824647,0.8439802263940778,1.8465888094352103,2.4975488519657474,1.5011342012294897,1.5034426969048624,0.7505671006147447,-0.750567100614745,0.3954198519621116,0.387434554973822,0.08795811518324607,0.03664921465968586,0.008376963350785341,0.004188481675392671,14,127731,221434,168178.43575797701,1
anchor_mod30_by_window,7,983,0.9283681618167302,0.7906378326280514,0.8129807548033811,1.9536367821142393,2.8307512433101163,1.3239947979369593,1.1971076565048044,0.6619973989684798,-0.6619973989684799,0.32677802151609003,0.26551373346897256,0.09257375381485249,0.030518819938962362,0.00508646998982706,0.002034587995930824,14,127731,221434,168178.43575797701,7
anchor_mod30_by_window,11,968,0.8547674260746361,0.7931323709043089,0.6510269294078982,2.1220268930631723,2.5101164817119206,1.3526785491555566,1.3193397692827193,0.6763392745777785,-0.6763392745777785,0.335898611455024,0.2768595041322314,0.11053719008264463,0.022727272727272728,0.0030991735537190084,0.0010330578512396695,14,127731,221434,168178.43575797701,11
anchor_mod30_by_window,13,981,0.9989502829720414,0.8232995599938883,0.8141823902942572,2.30221720327439,2.525661692109289,1.4107432248819154,1.2096421715738266,0.7053716124409578,-0.7053716124409578,0.3525835584128224,0.3527013251783894,0.12945973496432212,0.023445463812436288,0.00815494393476045,0.0010193679918450561,14,127731,221434,168178.43575797701,13
anchor_mod30_by_window,17,967,0.9063836936424873,0.8147607009059564,0.5074903442995168,2.1206567875825857,2.496282631930987,1.4677619274084646,1.4397490758699274,0.7338809637042324,-0.7338809637042326,0.3800363563742932,0.38676318510858326,0.11168562564632885,0.02171664943123061,0.008273009307135471,0.001034126163391934,14,127731,221434,168178.43575797701,17
anchor_mod30_by_window,19,971,1.1452110995149691,0.808073862890111,0.9750549384128065,2.287313544890742,2.519365475786657,1.4071741641079993,1.216268985505476,0.7035870820539998,-0.7035870820539997,0.35904204120974326,0.39752832131822863,0.13079299691040164,0.027806385169927908,0.007209062821833162,0.003089598352214212,14,127731,221434,168178.43575797701,19
anchor_mod30_by_window,23,957,1.125343597145238,0.7535931616971648,0.6791572320851845,2.02169147234212,2.4615838339667113,1.5019933628837687,1.433278672629219,0.7509966814418846,-0.7509966814418845,0.39585477470889024,0.4942528735632184,0.11285266457680251,0.03343782654127482,0.011494252873563218,0.0020898641588296763,14,127731,221434,168178.43575797701,23
anchor_mod30_by_window,29,982,0.9459232125812675,0.7565146923787052,0.9756774927123193,1.9549553690070403,2.500292376474359,1.391149035006232,1.2735916161724,0.6955745175031162,-0.6955745175031163,0.34964240126382007,0.4164969450101833,0.08044806517311609,0.026476578411405296,0.004073319755600814,0.0010183299389002036,14,127731,221434,168178.43575797701,29
anchor_mod30_by_window,1,1607,1.0993867569683742,0.7370782196974444,0.934467332706318,2.1850263724815737,2.3875586993157234,1.4751335485345871,1.3448901855712811,0.7375667742672936,-0.7375667742672938,0.37945304316100203,0.3565650280024891,0.10392034847542003,0.02862476664592408,0.006845052893590542,0.0031113876789047915,15,221434,383876,291553.0795309835,1
anchor_mod30_by_window,7,1593,0.9228371749675606,0.776402925317636,0.7805703454030903,1.907676181226204,2.714019713602572,1.3921435216738491,1.3553249136402945,0.6960717608369247,-0.6960717608369246,0.3522024274823804,0.25486503452605147,0.0834902699309479,0.027620841180163214,0.006277463904582548,0.0018832391713747645,15,221434,383876,291553.0795309835,7
anchor_mod30_by_window,11,1604,0.815652144066353,0.7702818828890207,0.48707805312481345,2.0406209321281157,2.4962752917292166,1.468799118074075,1.4241405501066369,0.7343995590370376,-0.7343995590370376,0.37652902107512864,0.22693266832917705,0.11221945137157108,0.0199501246882793,0.0024937655860349127,0.0,15,221434,383876,291553.0795309835,11
anchor_mod30_by_window,13,1614,1.0200195261539837,0.8320416779905507,0.7828642666079253,2.237744684176317,2.678076436962132,1.4309049096818054,1.3161785057049664,0.7154524548409029,-0.7154524548409029,0.36447934127006365,0.3822800495662949,0.13073110285006195,0.022304832713754646,0.00929368029739777,0.0024783147459727386,15,221434,383876,291553.0795309835,13
anchor_mod30_by_window,17,1616,0.9445496850873957,0.8142362239687728,0.9368893561930874,2.057502698208627,2.4928010330702293,1.477590571820898,1.3951377316743088,0.7387952859104492,-0.7387952859104492,0.3804597028980582,0.359529702970297,0.1188118811881188,0.023514851485148515,0.0049504950495049506,0.0006188118811881188,15,221434,383876,291553.0795309835,17
anchor_mod30_by_window,19,1594,1.1408822880016087,0.8426067701455193,0.936419085768547,2.24086196286619,2.6996990738666065,1.4836446026565906,1.3452244419744748,0.7418223013282954,-0.7418223013282954,0.3864708865458532,0.35633626097867,0.1342534504391468,0.0451693851944793,0.01191969887076537,0.0012547051442910915,15,221434,383876,291553.0795309835,19
anchor_mod30_by_window,23,1608,1.1069376299473692,0.7840465266599874,0.6485629819266518,2.0286676711289378,2.6722429795627765,1.5368736854638136,1.506478255772696,0.7684368427319069,-0.7684368427319072,0.4077714766474605,0.4962686567164179,0.1013681592039801,0.03171641791044776,0.009328358208955223,0.003109452736318408,15,221434,383876,291553.0795309835,23
anchor_mod30_by_window,29,1628,0.9642521613070727,0.8001609051346569,0.9404707984610305,1.8865187680013604,2.506165025109563,1.4861066026046985,1.3916404285158825,0.7430533013023493,-0.7430533013023495,0.38438915769377785,0.3832923832923833,0.07493857493857493,0.03132678132678133,0.006142506142506142,0.002457002457002457,15,221434,383876,291553.0795309835,29
anchor_mod30_by_window,1,2665,1.1027500527515308,0.7346504411715714,0.9018869966188586,2.1374619918867945,2.7304452809555615,1.5058895161293115,1.4106630060735739,0.7529447580646557,-0.7529447580646559,0.3962926518446793,0.3827392120075047,0.12570356472795496,0.04052532833020638,0.00525328330206379,0.001125703564727955,16,383876,665484,505433.80969618564,1
anchor_mod30_by_window,7,2683,0.9216251050794914,0.7681658943678125,0.753750179518673,1.829697556950386,2.5974985907514356,1.4331262924503545,1.3481333418839876,0.7165631462251771,-0.7165631462251774,0.363520089818113,0.2784196794632874,0.0887066716362281,0.029444651509504285,0.007827059262020127,0.0022363026462914647,16,383876,665484,505433.80969618564,7
anchor_mod30_by_window,11,2674,0.8754886248828223,0.8323832163594171,0.6015041182574294,2.0064529526926864,2.4792706533339355,1.3723503175799407,1.300704640645149,0.6861751587899706,-0.6861751587899705,0.3439796197097016,0.27860882572924456,0.10209424083769633,0.02019446522064323,0.006731488406881077,0.002243829468960359,16,383876,665484,505433.80969618564,11
anchor_mod30_by_window,13,2667,1.0185319180063201,0.8703189191872021,0.7513573543421657,2.176105941859955,2.694338767135317,1.4551786196875094,1.3519613815445959,0.7275893098437547,-0.7275893098437549,0.3745037047870457,0.3858267716535433,0.1484814398200225,0.03562054743157105,0.011623547056617924,0.0022497187851518562,16,383876,665484,505433.80969618564,13
anchor_mod30_by_window,17,2676,0.9391495158557092,0.8360225876572897,0.8999662146655354,1.9962867147441434,2.4288120124787285,1.4059326696923238,1.3278285356191508,0.702966334846162,-0.7029663348461622,0.3549967105972045,0.3759342301943199,0.09940209267563528,0.030642750373692077,0.008968609865470852,0.0014947683109118087,16,383876,665484,505433.80969618564,17
anchor_mod30_by_window,19,2670,1.106324031773238,0.8097967982554053,0.9004779506530036,2.1318520540969788,2.5562481769282095,1.5272668793470476,1.4164109575498507,0.7636334396735238,-0.7636334396735242,0.40338909115739197,0.38127340823970035,0.12134831460674157,0.036329588014981276,0.010112359550561797,0.0018726591760299626,16,383876,665484,505433.80969618564,19
