x,observed_count,prime_count,density_drift,name,scenario
42781,3360,4473,0.24882629107981222,missing_keep_75,missing
47763,3707,4923,0.24700385943530367,missing_keep_75,missing
53325,4089,5439,0.24820739106453393,missing_keep_75,missing
59535,4537,6018,0.24609504818876704,missing_keep_75,missing
66469,5018,6628,0.24290887145443574,missing_keep_75,missing
74209,5541,7323,0.2433428922572716,missing_keep_75,missing
82851,6103,8097,0.24626404841299246,missing_keep_75,missing
92500,6726,8935,0.2472299944040291,missing_keep_75,missing
103272,7428,9872,0.24756888168557536,missing_keep_75,missing
115298,8209,10895,0.24653510784763652,missing_keep_75,missing
128725,9050,12051,0.249024977180317,missing_keep_75,missing
143716,10024,13321,0.24750394114555965,missing_keep_75,missing
160453,11053,14721,0.24916785544460296,missing_keep_75,missing
179138,12210,16260,0.24907749077490776,missing_keep_75,missing
200000,13488,17984,0.25,missing_keep_75,missing
100,12,25,0.52,missing_keep_50,missing
111,13,29,0.5517241379310345,missing_keep_50,missing
124,14,30,0.5333333333333333,missing_keep_50,missing
139,14,34,0.5882352941176471,missing_keep_50,missing
155,15,36,0.5833333333333334,missing_keep_50,missing
173,17,40,0.575,missing_keep_50,missing
193,20,44,0.5454545454545454,missing_keep_50,missing
216,21,47,0.5531914893617021,missing_keep_50,missing
241,25,53,0.5283018867924528,missing_keep_50,missing
269,26,57,0.543859649122807,missing_keep_50,missing
300,29,62,0.532258064516129,missing_keep_50,missing
335,31,67,0.5373134328358209,missing_keep_50,missing
375,36,74,0.5135135135135135,missing_keep_50,missing
418,38,80,0.525,missing_keep_50,missing
467,45,91,0.5054945054945055,missing_keep_50,missing
521,49,98,0.5,missing_keep_50,missing
582,53,106,0.5,missing_keep_50,missing
650,62,118,0.4745762711864407,missing_keep_50,missing
726,68,128,0.46875,missing_keep_50,missing
810,73,140,0.4785714285714286,missing_keep_50,missing
905,78,154,0.4935064935064935,missing_keep_50,missing
1010,88,169,0.47928994082840237,missing_keep_50,missing
1128,94,188,0.5,missing_keep_50,missing
1259,100,205,0.5121951219512195,missing_keep_50,missing
1406,112,222,0.4954954954954955,missing_keep_50,missing
1570,125,247,0.4939271255060729,missing_keep_50,missing
1753,135,273,0.5054945054945055,missing_keep_50,missing
1957,148,297,0.5016835016835017,missing_keep_50,missing
2185,161,327,0.5076452599388379,missing_keep_50,missing
2439,180,361,0.5013850415512465,missing_keep_50,missing
2724,199,397,0.4987405541561713,missing_keep_50,missing
3041,216,436,0.5045871559633027,missing_keep_50,missing
3395,240,478,0.497907949790795,missing_keep_50,missing
3790,265,526,0.49619771863117873,missing_keep_50,missing
4232,299,580,0.4844827586206897,missing_keep_50,missing
4725,331,637,0.4803767660910518,missing_keep_50,missing
5275,354,699,0.49356223175965663,missing_keep_50,missing
5890,390,775,0.4967741935483871,missing_keep_50,missing
6575,422,850,0.5035294117647059,missing_keep_50,missing
7341,458,935,0.5101604278074866,missing_keep_50,missing
8196,515,1028,0.4990272373540856,missing_keep_50,missing
9151,563,1134,0.5035273368606702,missing_keep_50,missing
10216,631,1253,0.49640861931364727,missing_keep_50,missing
11406,686,1376,0.501453488372093,missing_keep_50,missing
12735,754,1519,0.5036208031599737,missing_keep_50,missing
14218,826,1671,0.5056852184320766,missing_keep_50,missing
15874,917,1848,0.5037878787878788,missing_keep_50,missing
17722,1003,2034,0.5068829891838741,missing_keep_50,missing
19786,1117,2239,0.5011165698972756,missing_keep_50,missing
22090,1234,2475,0.5014141414141414,missing_keep_50,missing
24663,1366,2730,0.49963369963369964,missing_keep_50,missing
27535,1507,3007,0.4988360492184902,missing_keep_50,missing
30742,1652,3315,0.501659125188537,missing_keep_50,missing
34322,1827,3668,0.5019083969465649,missing_keep_50,missing
38319,2032,4044,0.49752720079129575,missing_keep_50,missing
42781,2248,4473,0.49742901855577915,missing_keep_50,missing
47763,2466,4923,0.4990859232175503,missing_keep_50,missing
53325,2705,5439,0.5026659312373598,missing_keep_50,missing
59535,2972,6018,0.5061482220006647,missing_keep_50,missing
66469,3284,6628,0.5045262522631261,missing_keep_50,missing
74209,3621,7323,0.5055305202785744,missing_keep_50,missing
82851,3991,8097,0.5071013955786093,missing_keep_50,missing
92500,4432,8935,0.5039731393396755,missing_keep_50,missing
103272,4887,9872,0.5049635332252836,missing_keep_50,missing
115298,5397,10895,0.5046351537402478,missing_keep_50,missing
128725,6006,12051,0.5016181229773463,missing_keep_50,missing
143716,6625,13321,0.5026649650927107,missing_keep_50,missing
