source,sample,mode,incremental_error_reduction
iid_shuffle,20,2,0.2844563628745663
iid_shuffle,20,3,0.12669904513063995
iid_shuffle,20,4,0.13072916430408604
iid_shuffle,20,5,0.119006097515887
iid_shuffle,20,6,0.02489661910975219
iid_shuffle,20,7,0.02886244787699074
iid_shuffle,20,8,2.1269739066510082e-16
iid_shuffle,21,1,0.24972258753903753
iid_shuffle,21,2,0.1830490596361034
iid_shuffle,21,3,0.16888494877289906
iid_shuffle,21,4,0.12308360408271601
iid_shuffle,21,5,0.16954115417103302
iid_shuffle,21,6,0.07312110880259708
iid_shuffle,21,7,0.032597536995612575
iid_shuffle,21,8,5.168665261555635e-16
iid_shuffle,22,1,0.2660140092658191
iid_shuffle,22,2,0.19403942617501024
iid_shuffle,22,3,0.18035762560410323
iid_shuffle,22,4,0.14449181704727881
iid_shuffle,22,5,0.12439836104333296
iid_shuffle,22,6,0.08289116866064644
iid_shuffle,22,7,0.007807592203808272
iid_shuffle,22,8,1.8976845634577117e-16
iid_shuffle,23,1,0.3590509776021479
iid_shuffle,23,2,0.1312346310652388
iid_shuffle,23,3,0.13583023082438833
iid_shuffle,23,4,0.14187574823440643
iid_shuffle,23,5,0.09607692175126975
iid_shuffle,23,6,0.11616147054884518
iid_shuffle,23,7,0.019770019973702452
iid_shuffle,23,8,3.2914974147338005e-16
iid_shuffle,24,1,0.31307002635274506
iid_shuffle,24,2,0.1689012979259784
iid_shuffle,24,3,0.17240873248457012
iid_shuffle,24,4,0.11540515773239524
iid_shuffle,24,5,0.10706072031131043
iid_shuffle,24,6,0.11747739340415078
iid_shuffle,24,7,0.005676671788847839
iid_shuffle,24,8,5.762098641230996e-16
iid_shuffle,25,1,0.21304451226339927
iid_shuffle,25,2,0.2467970011805044
iid_shuffle,25,3,0.154363174126655
iid_shuffle,25,4,0.13359061139066014
iid_shuffle,25,5,0.10458310470622334
iid_shuffle,25,6,0.1322211526403113
iid_shuffle,25,7,0.015400443692244636
iid_shuffle,25,8,6.459182146509312e-16
iid_shuffle,26,1,0.1888177254909893
iid_shuffle,26,2,0.23977804557213578
iid_shuffle,26,3,0.1417637356039667
iid_shuffle,26,4,0.1583787670301579
iid_shuffle,26,5,0.1595301428538815
iid_shuffle,26,6,0.07812017993893627
iid_shuffle,26,7,0.03361140350993011
iid_shuffle,26,8,4.141684294849106e-17
iid_shuffle,27,1,0.18763705423456267
iid_shuffle,27,2,0.17886658104740794
iid_shuffle,27,3,0.19758973136321883
iid_shuffle,27,4,0.15997197018968917
iid_shuffle,27,5,0.13423969281072892
iid_shuffle,27,6,0.10862277555933608
iid_shuffle,27,7,0.033072194795054695
iid_shuffle,27,8,7.098802544669124e-16
iid_shuffle,28,1,0.20727027674603626
iid_shuffle,28,2,0.25057168949646924
iid_shuffle,28,3,0.17485051556111408
iid_shuffle,28,4,0.15893939108575136
iid_shuffle,28,5,0.09939972305110036
iid_shuffle,28,6,0.08820914053770362
iid_shuffle,28,7,0.02075926352182293
iid_shuffle,28,8,9.670635606349943e-16
iid_shuffle,29,1,0.29620108051501803
iid_shuffle,29,2,0.2208102159789272
iid_shuffle,29,3,0.16223485774212493
iid_shuffle,29,4,0.13903237441956245
iid_shuffle,29,5,0.08133850868703475
iid_shuffle,29,6,0.06349484454897611
iid_shuffle,29,7,0.03688811810835543
iid_shuffle,29,8,1.9953653989336584e-16
iid_shuffle,30,1,0.20080002961000565
iid_shuffle,30,2,0.252678092516464
iid_shuffle,30,3,0.16135145393823214
iid_shuffle,30,4,0.14279401552284088
iid_shuffle,30,5,0.07180321234501008
iid_shuffle,30,6,0.06256908396245643
iid_shuffle,30,7,0.10800411210498932
iid_shuffle,30,8,4.142788600583411e-16
iid_shuffle,31,1,0.29404070257862147
iid_shuffle,31,2,0.22070620723768808
iid_shuffle,31,3,0.12953719998886631
iid_shuffle,31,4,0.13437589625284482
iid_shuffle,31,5,0.07708936058821236
iid_shuffle,31,6,0.09762735418475993
iid_shuffle,31,7,0.046623279169006354
iid_shuffle,31,8,1.2217029420787037e-17
iid_shuffle,32,1,0.21481316247049298
iid_shuffle,32,2,0.16284208805162215
iid_shuffle,32,3,0.13103895622543849
iid_shuffle,32,4,0.15428598822037648
iid_shuffle,32,5,0.12969568038506132
iid_shuffle,32,6,0.1072454435260862
iid_shuffle,32,7,0.10007868112092037
iid_shuffle,32,8,2.4047062800565513e-16
iid_shuffle,33,1,0.19702920627878584
iid_shuffle,33,2,0.19013971968887544
iid_shuffle,33,3,0.19088470661633972
iid_shuffle,33,4,0.18351484183800293
iid_shuffle,33,5,0.12299945118344831
iid_shuffle,33,6,0.08127115458706877
iid_shuffle,33,7,0.03416091980747743
iid_shuffle,33,8,9.013871670945166e-16
iid_shuffle,34,1,0.21802462351628393
iid_shuffle,34,2,0.209300164395123
iid_shuffle,34,3,0.16139441099975887
iid_shuffle,34,4,0.10807735292103587
iid_shuffle,34,5,0.10850367619735304
iid_shuffle,34,6,0.08685415992681955
iid_shuffle,34,7,0.10784561204362426
iid_shuffle,34,8,1.0546242841515053e-16
iid_shuffle,35,1,0.19202772006737967
iid_shuffle,35,2,0.21290227514171456
