scenario,kind,method,window_left,window_right,window_mid,true_prime_count,observed_count,true_positive,false_positive,false_negative,density_error,precision,recovery,f1,gap_drift
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,165002,175002,170002.0,822,212,212,0,610,0.7420924574209246,1.0,0.25790754257907544,0.4100580270793037,3.0231975755890956
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,170002,180002,175002.0,846,221,221,0,625,0.7387706855791962,1.0,0.26122931442080377,0.41424554826616683,2.872949299598217
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,175002,185002,180002.0,829,212,212,0,617,0.744270205066345,1.0,0.255729794933655,0.4073006724303554,3.057774469828114
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,180002,190002,185002.0,827,202,202,0,625,0.7557436517533253,1.0,0.24425634824667472,0.3926141885325559,3.2365115532949487
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,185002,195002,190002.0,828,202,202,0,626,0.7560386473429952,1.0,0.24396135265700483,0.39223300970873787,3.1728444629074772
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,190002,200000,195001.0,814,204,204,0,610,0.7493857493857494,1.0,0.25061425061425063,0.4007858546168959,3.1316536100574073
adversarial_mod6_noise_100,adversarial_mod6,sieve_cleaned,195002,200000,197501.0,411,106,106,0,305,0.7420924574209246,1.0,0.25790754257907544,0.4100580270793037,3.0275904055008254
adversarial_mod6_noise_100,adversarial_mod6,density_only,2,10002,5002.0,1229,1221,1221,0,8,0.006509357200976403,1.0,0.9934906427990235,0.996734693877551,0.5420968458806537
adversarial_mod6_noise_100,adversarial_mod6,density_only,5002,15002,10002.0,1085,1074,1074,0,11,0.010138248847926268,1.0,0.9898617511520738,0.9949050486336267,0.5710046687144441
adversarial_mod6_noise_100,adversarial_mod6,density_only,10002,20002,15002.0,1033,1018,1018,0,15,0.01452081316553727,1.0,0.9854791868344628,0.9926864943929791,0.5843692092511844
adversarial_mod6_noise_100,adversarial_mod6,density_only,15002,25002,20002.0,1008,1000,1000,0,8,0.007936507936507936,1.0,0.9920634920634921,0.9960159362549801,0.5680934258081586
adversarial_mod6_noise_100,adversarial_mod6,density_only,20002,30002,25002.0,983,980,980,0,3,0.003051881993896236,1.0,0.9969481180061037,0.9984717269485481,0.5662233651492014
adversarial_mod6_noise_100,adversarial_mod6,density_only,25002,35002,30002.0,970,962,962,0,8,0.008247422680412371,1.0,0.9917525773195877,0.9958592132505176,0.5828941681544825
adversarial_mod6_noise_100,adversarial_mod6,density_only,30002,40002,35002.0,958,945,945,0,13,0.013569937369519834,1.0,0.9864300626304802,0.9931686810299527,0.5800353181573543
adversarial_mod6_noise_100,adversarial_mod6,density_only,35002,45002,40002.0,943,935,935,0,8,0.008483563096500531,1.0,0.9915164369034994,0.9957401490947817,0.5662704774244034
adversarial_mod6_noise_100,adversarial_mod6,density_only,40002,50002,45002.0,930,926,926,0,4,0.004301075268817204,1.0,0.9956989247311828,0.997844827586207,0.5774952742593266
adversarial_mod6_noise_100,adversarial_mod6,density_only,45002,55002,50002.0,916,911,911,0,5,0.0054585152838427945,1.0,0.9945414847161572,0.997263273125342,0.5823220010442363
adversarial_mod6_noise_100,adversarial_mod6,density_only,50002,60002,55002.0,924,918,918,0,6,0.006493506493506494,1.0,0.9935064935064936,0.9967426710097721,0.5733211522167405
adversarial_mod6_noise_100,adversarial_mod6,density_only,55002,65002,60002.0,902,894,894,0,8,0.008869179600886918,1.0,0.991130820399113,0.9955456570155902,0.5883248847046326
adversarial_mod6_noise_100,adversarial_mod6,density_only,60002,70002,65002.0,879,870,870,0,9,0.010238907849829351,1.0,0.9897610921501706,0.9948542024013721,0.5932451501061291
adversarial_mod6_noise_100,adversarial_mod6,density_only,65002,75002,70002.0,900,895,895,0,5,0.005555555555555556,1.0,0.9944444444444445,0.9972144846796658,0.5698856570288559
adversarial_mod6_noise_100,adversarial_mod6,density_only,70002,80002,75002.0,901,896,896,0,5,0.005549389567147614,1.0,0.9944506104328524,0.9972175848636617,0.5775047879923235
adversarial_mod6_noise_100,adversarial_mod6,density_only,75002,85002,80002.0,884,875,875,0,9,0.010180995475113122,1.0,0.9898190045248869,0.9948834565093804,0.5940872559710019
adversarial_mod6_noise_100,adversarial_mod6,density_only,80002,90002,85002.0,877,863,863,0,14,0.01596351197263398,1.0,0.984036488027366,0.9919540229885058,0.5990628477535774
adversarial_mod6_noise_100,adversarial_mod6,density_only,85002,95002,90002.0,880,866,866,0,14,0.015909090909090907,1.0,0.9840909090909091,0.9919816723940436,0.6052626779888951
adversarial_mod6_noise_100,adversarial_mod6,density_only,90002,100002,95002.0,878,869,869,0,9,0.010250569476082005,1.0,0.989749430523918,0.9948483113909559,0.6024956453676694
adversarial_mod6_noise_100,adversarial_mod6,density_only,95002,105002,100002.0,867,863,863,0,4,0.00461361014994233,1.0,0.9953863898500577,0.9976878612716763,0.5890519653188688
adversarial_mod6_noise_100,adversarial_mod6,density_only,100002,110002,105002.0,861,858,858,0,3,0.003484320557491289,1.0,0.9965156794425087,0.9982547993019197,0.5880338617248746
