state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
7,1,1,0.08525896414342629,0.07328211465105035,0.011976849492375943,0.011976849492375943,2510
0,1,5,0.13395438483777705,0.12201149734056842,0.011942887497208635,0.011942887497208635,3113
0,7,3,0.10683906090506975,0.11872783926077146,-0.011888778355701707,0.011888778355701707,2939
5,4,7,0.1385985288424313,0.1267393757051523,0.011859153137278977,0.011859153137278977,2583
4,6,2,0.14313346228239845,0.1313060763982163,0.011827385884182168,0.011827385884182168,2068
3,7,6,0.10140474100087796,0.11319436982916084,-0.011789628828282883,0.011789628828282883,2278
7,4,0,0.16235392320534223,0.15059367109009833,0.011760252115243897,0.011760252115243897,2396
4,2,7,0.1143740340030912,0.12598721323805942,-0.011613179234968227,0.011613179234968227,1941
4,1,4,0.12187958883994127,0.11029925321012196,0.011580335629819305,0.011580335629819305,2043
3,2,6,0.12128892107168718,0.13286412722290872,-0.01157520615122154,0.01157520615122154,2762
3,0,7,0.16946711473835813,0.15789190931556893,0.011575205422789198,0.011575205422789198,2083
0,2,3,0.13520971302428256,0.14672540697362058,-0.011515693949338018,0.011515693949338018,1812
5,7,2,0.14460093896713616,0.13312560438379714,0.01147533458333902,0.01147533458333902,2130
0,4,7,0.13820840950639854,0.1267393757051523,0.011469033801246226,0.011469033801246226,2735
5,5,4,0.12737127371273713,0.1387739751786386,-0.011402701465901471,0.011402701465901471,2214
5,7,5,0.12347417840375587,0.11211990974535296,0.011354268658402902,0.011354268658402902,2130
2,4,6,0.12244897959183673,0.11110514156772149,0.011343838024115246,0.011343838024115246,2009
2,5,5,0.13028169014084506,0.11894912158169021,0.011332568559154849,0.011332568559154849,2556
7,7,2,0.14418604651162792,0.13312560438379714,0.011060442127830777,0.011060442127830777,1935
5,2,7,0.11492890995260663,0.12598721323805942,-0.011058303285452792,0.011058303285452792,2532
5,1,3,0.09779442363712026,0.10884865416644281,-0.011054230529322542,0.011054230529322542,2403
3,2,1,0.14554670528602462,0.13458335571912106,0.010963349566903563,0.010963349566903563,2762
3,5,1,0.1399349139934914,0.12910331488744425,0.01083159910604714,0.01083159910604714,2151
4,4,0,0.16140713916192448,0.15059367109009833,0.010813468071826149,0.010813468071826149,1933
6,0,7,0.14712153518123666,0.15789190931556893,-0.010770374134332267,0.010770374134332267,2345
