candidate,bin_left,bin_right,score,scenario,kind,stage
28211,25001,31251,0.931399239331905,mixed_keep_75_noise_25,mixed,density_reconstruction
172069,168750,175000,0.9312414638657324,mixed_keep_75_noise_25,mixed,density_reconstruction
71527,68751,75001,0.9309094456383195,mixed_keep_75_noise_25,mixed,density_reconstruction
3089,2,6251,0.9307378005488192,mixed_keep_75_noise_25,mixed,density_reconstruction
90547,87501,93751,0.9303243795729265,mixed_keep_75_noise_25,mixed,density_reconstruction
196291,193750,200000,0.9300135860929641,mixed_keep_75_noise_25,mixed,density_reconstruction
127867,125000,131250,0.9294275552722002,mixed_keep_75_noise_25,mixed,density_reconstruction
22501,18751,25001,0.9293610998016816,mixed_keep_75_noise_25,mixed,density_reconstruction
28019,25001,31251,0.9290643496080382,mixed_keep_75_noise_25,mixed,density_reconstruction
9689,6251,12501,0.9287875704579035,mixed_keep_75_noise_25,mixed,density_reconstruction
134191,131250,137500,0.9285386708996451,mixed_keep_75_noise_25,mixed,density_reconstruction
127859,125000,131250,0.9285336983643192,mixed_keep_75_noise_25,mixed,density_reconstruction
133781,131250,137500,0.9285306821941766,mixed_keep_75_noise_25,mixed,density_reconstruction
28697,25001,31251,0.9284151277187996,mixed_keep_75_noise_25,mixed,density_reconstruction
2539,2,6251,0.9281130744527477,mixed_keep_75_noise_25,mixed,density_reconstruction
46523,43751,50001,0.9274681672453754,mixed_keep_75_noise_25,mixed,density_reconstruction
53101,50001,56251,0.927429131200896,mixed_keep_75_noise_25,mixed,density_reconstruction
71933,68751,75001,0.9268258082538636,mixed_keep_75_noise_25,mixed,density_reconstruction
15391,12501,18751,0.9267149775611802,mixed_keep_75_noise_25,mixed,density_reconstruction
172519,168750,175000,0.9264260196227192,mixed_keep_75_noise_25,mixed,density_reconstruction
109063,106250,112500,0.9264094130009652,mixed_keep_75_noise_25,mixed,density_reconstruction
3067,2,6251,0.9263547088282985,mixed_keep_75_noise_25,mixed,density_reconstruction
40961,37501,43751,0.9259332532069922,mixed_keep_75_noise_25,mixed,density_reconstruction
3719,2,6251,0.925664282081849,mixed_keep_75_noise_25,mixed,density_reconstruction
141257,137500,143750,0.925653623433789,mixed_keep_75_noise_25,mixed,density_reconstruction
59809,56251,62501,0.9254053163847741,mixed_keep_75_noise_25,mixed,density_reconstruction
97021,93751,100001,0.9247022351488219,mixed_keep_75_noise_25,mixed,density_reconstruction
