window_index,window_midpoint,bin_left,bin_right,bin_center,density
2,425.2504696716655,0.8,1.0,0.9,0.810810810810811
2,425.2504696716655,1.0,1.2000000000000002,1.1,0.6756756756756751
2,425.2504696716655,1.2000000000000002,1.4000000000000001,1.3000000000000003,0.810810810810811
2,425.2504696716655,1.4000000000000001,1.6,1.5,0.13513513513513517
2,425.2504696716655,1.6,1.8,1.7000000000000002,0.4054054054054055
2,425.2504696716655,1.8,2.0,1.9,0.27027027027027034
2,425.2504696716655,2.0,2.2,2.1,0.0
2,425.2504696716655,2.2,2.4000000000000004,2.3000000000000003,0.0
2,425.2504696716655,2.4000000000000004,2.6,2.5,0.0
2,425.2504696716655,2.6,2.8000000000000003,2.7,0.0
2,425.2504696716655,2.8000000000000003,3.0,2.9000000000000004,0.13513513513513534
2,425.2504696716655,3.0,3.2,3.1,0.0
2,425.2504696716655,3.2,3.4000000000000004,3.3000000000000003,0.0
2,425.2504696716655,3.4000000000000004,3.6,3.5,0.0
2,425.2504696716655,3.6,3.8000000000000003,3.7,0.0
2,425.2504696716655,3.8000000000000003,4.0,3.9000000000000004,0.0
2,425.2504696716655,4.0,4.2,4.1,0.0
2,425.2504696716655,4.2,4.4,4.300000000000001,0.0
2,425.2504696716655,4.4,4.6000000000000005,4.5,0.0
2,425.2504696716655,4.6000000000000005,4.800000000000001,4.700000000000001,0.0
2,425.2504696716655,4.800000000000001,5.0,4.9,0.0
2,425.2504696716655,5.0,5.2,5.1,0.0
2,425.2504696716655,5.2,5.4,5.300000000000001,0.0
2,425.2504696716655,5.4,5.6000000000000005,5.5,0.0
2,425.2504696716655,5.6000000000000005,5.800000000000001,5.700000000000001,0.0
2,425.2504696716655,5.800000000000001,6.0,5.9,0.0
2,425.2504696716655,6.0,6.2,6.1,0.0
2,425.2504696716655,6.2,6.4,6.300000000000001,0.0
2,425.2504696716655,6.4,6.6000000000000005,6.5,0.0
2,425.2504696716655,6.6000000000000005,6.800000000000001,6.700000000000001,0.0
2,425.2504696716655,6.800000000000001,7.0,6.9,0.0
2,425.2504696716655,7.0,7.2,7.1,0.0
2,425.2504696716655,7.2,7.4,7.300000000000001,0.0
2,425.2504696716655,7.4,7.6000000000000005,7.5,0.0
2,425.2504696716655,7.6000000000000005,7.800000000000001,7.700000000000001,0.0
2,425.2504696716655,7.800000000000001,8.0,7.9,0.0
3,755.7430695273714,0.0,0.2,0.1,0.0
3,755.7430695273714,0.2,0.4,0.30000000000000004,0.7692307692307693
3,755.7430695273714,0.4,0.6000000000000001,0.5,0.6153846153846152
3,755.7430695273714,0.6000000000000001,0.8,0.7000000000000001,0.4615384615384617
3,755.7430695273714,0.8,1.0,0.9,1.230769230769231
3,755.7430695273714,1.0,1.2000000000000002,1.1,0.2307692307692306
3,755.7430695273714,1.2000000000000002,1.4000000000000001,1.3000000000000003,0.38461538461538475
3,755.7430695273714,1.4000000000000001,1.6,1.5,0.6153846153846155
3,755.7430695273714,1.6,1.8,1.7000000000000002,0.15384615384615388
