candidate,method,bin_left,bin_right,score,scenario,kind,gap_score,neighbor_score,density_score
90731,density_only,87501,93751,0.9832011433419128,mixed_keep_75_noise_25,mixed,,,
65521,density_only,62501,68751,0.9832002458011418,mixed_keep_75_noise_25,mixed,,,
134269,density_only,131250,137500,0.9830399662835247,mixed_keep_75_noise_25,mixed,,,
109481,density_only,106250,112500,0.9830399255223358,mixed_keep_75_noise_25,mixed,,,
140731,density_only,137500,143750,0.9830395423739333,mixed_keep_75_noise_25,mixed,,,
28019,density_only,25001,31251,0.982883312451541,mixed_keep_75_noise_25,mixed,,,
78233,density_only,75001,81251,0.9828809003812436,mixed_keep_75_noise_25,mixed,,,
40519,density_only,37501,43751,0.9828799812846273,mixed_keep_75_noise_25,mixed,,,
96769,density_only,93751,100001,0.9828793674193211,mixed_keep_75_noise_25,mixed,,,
146983,density_only,143750,150000,0.9827196110344197,mixed_keep_75_noise_25,mixed,,,
115733,density_only,112500,118750,0.982718934191059,mixed_keep_75_noise_25,mixed,,,
146767,density_only,143750,150000,0.9827187115209536,mixed_keep_75_noise_25,mixed,,,
146987,density_only,143750,150000,0.9820803196162475,mixed_keep_75_noise_25,mixed,,,
115513,density_only,112500,118750,0.982078766482313,mixed_keep_75_noise_25,mixed,,,
96989,density_only,93751,100001,0.981918621989121,mixed_keep_75_noise_25,mixed,,,
165511,density_only,162500,168750,0.9817606499113019,mixed_keep_75_noise_25,mixed,,,
3011,density_only,2,6251,0.9815170986720377,mixed_keep_75_noise_25,mixed,,,
196991,density_only,193750,200000,0.9814388373240224,mixed_keep_75_noise_25,mixed,,,
46993,density_only,43751,50001,0.9812822369399685,mixed_keep_75_noise_25,mixed,,,
34259,density_only,31251,37501,0.9812788960573195,mixed_keep_75_noise_25,mixed,,,
171757,density_only,168750,175000,0.9811185892873314,mixed_keep_75_noise_25,mixed,,,
46997,density_only,43751,50001,0.9806413006607128,mixed_keep_75_noise_25,mixed,,,
121997,density_only,118750,125000,0.9804819602281464,mixed_keep_75_noise_25,mixed,,,
84499,density_only,81251,87501,0.9803190378151829,mixed_keep_75_noise_25,mixed,,,
165749,density_only,162500,168750,0.9801611612331389,mixed_keep_75_noise_25,mixed,,,
3251,density_only,2,6251,0.9800774829957731,mixed_keep_75_noise_25,mixed,,,
34501,density_only,31251,37501,0.9800001068166988,mixed_keep_75_noise_25,mixed,,,
146749,density_only,143750,150000,0.979840984578152,mixed_keep_75_noise_25,mixed,,,
52999,density_only,50001,56251,0.9796807356988382,mixed_keep_75_noise_25,mixed,,,
22003,density_only,18751,25001,0.9796790464521944,mixed_keep_75_noise_25,mixed,,,
2999,density_only,2,6251,0.9795959179568441,mixed_keep_75_noise_25,mixed,,,
127997,density_only,125000,131250,0.9795194218039237,mixed_keep_75_noise_25,mixed,,,
134503,density_only,131250,137500,0.9795193182804904,mixed_keep_75_noise_25,mixed,,,
84247,density_only,81251,87501,0.9793602403941463,mixed_keep_75_noise_25,mixed,,,
134507,density_only,131250,137500,0.9788792802763776,mixed_keep_75_noise_25,mixed,,,
59243,density_only,56251,62501,0.978720702017706,mixed_keep_75_noise_25,mixed,,,
15761,density_only,12501,18751,0.9784015816482623,mixed_keep_75_noise_25,mixed,,,
34511,density_only,31251,37501,0.9783992911805796,mixed_keep_75_noise_25,mixed,,,
122011,density_only,118750,125000,0.9782399679662278,mixed_keep_75_noise_25,mixed,,,
140761,density_only,137500,143750,0.9782397646758914,mixed_keep_75_noise_25,mixed,,,
196739,density_only,193750,200000,0.9782380836028449,mixed_keep_75_noise_25,mixed,,,
59513,density_only,56251,62501,0.978079411310277,mixed_keep_75_noise_25,mixed,,,
96739,density_only,93751,100001,0.9780787835508721,mixed_keep_75_noise_25,mixed,,,
134513,density_only,131250,137500,0.9779210251884396,mixed_keep_75_noise_25,mixed,,,
115763,density_only,112500,118750,0.9779203065895657,mixed_keep_75_noise_25,mixed,,,
184517,density_only,181250,187500,0.9772815927711951,mixed_keep_75_noise_25,mixed,,,
102983,density_only,100001,106250,0.9771957633198847,mixed_keep_75_noise_25,mixed,,,
34519,density_only,31251,37501,0.9771200561040327,mixed_keep_75_noise_25,mixed,,,
52981,density_only,50001,56251,0.9768017894204449,mixed_keep_75_noise_25,mixed,,,
97021,density_only,93751,100001,0.9768004865234386,mixed_keep_75_noise_25,mixed,,,
84521,density_only,81251,87501,0.9768003043253618,mixed_keep_75_noise_25,mixed,,,
40771,density_only,37501,43751,0.9767972861994905,mixed_keep_75_noise_25,mixed,,,
109229,density_only,106250,112500,0.9766422939866128,mixed_keep_75_noise_25,mixed,,,
159521,density_only,156250,162500,0.9766417394323474,mixed_keep_75_noise_25,mixed,,,
165479,density_only,162500,168750,0.9766406675812302,mixed_keep_75_noise_25,mixed,,,
122021,density_only,118750,125000,0.976639787765642,mixed_keep_75_noise_25,mixed,,,
197023,density_only,193750,200000,0.9763205590638317,mixed_keep_75_noise_25,mixed,,,
46727,density_only,43751,50001,0.9761622530871574,mixed_keep_75_noise_25,mixed,,,
9227,density_only,6251,12501,0.9761602437401115,mixed_keep_75_noise_25,mixed,,,
122027,density_only,118750,125000,0.9756807260105903,mixed_keep_75_noise_25,mixed,,,
153277,density_only,150000,156250,0.9756784849808073,mixed_keep_75_noise_25,mixed,,,
84223,density_only,81251,87501,0.9755210771956218,mixed_keep_75_noise_25,mixed,,,
52973,density_only,50001,56251,0.9755201297333292,mixed_keep_75_noise_25,mixed,,,
46723,density_only,43751,50001,0.9755196240168473,mixed_keep_75_noise_25,mixed,,,
53279,density_only,50001,56251,0.9755192822130673,mixed_keep_75_noise_25,mixed,,,
84221,density_only,81251,87501,0.97520120779686,mixed_keep_75_noise_25,mixed,,,
9221,density_only,6251,12501,0.9752006109942386,mixed_keep_75_noise_25,mixed,,,
72031,density_only,68751,75001,0.9751997796742092,mixed_keep_75_noise_25,mixed,,,
2971,density_only,2,6251,0.9751150836760744,mixed_keep_75_noise_25,mixed,,,
172031,density_only,168750,175000,0.9750401190311926,mixed_keep_75_noise_25,mixed,,,
171719,density_only,168750,175000,0.9750399476158423,mixed_keep_75_noise_25,mixed,,,
147031,density_only,143750,150000,0.9750399214500597,mixed_keep_75_noise_25,mixed,,,
84533,density_only,81251,87501,0.9748808358714263,mixed_keep_75_noise_25,mixed,,,
90469,density_only,87501,93751,0.9748797256600464,mixed_keep_75_noise_25,mixed,,,
2969,density_only,2,6251,0.9747955808361312,mixed_keep_75_noise_25,mixed,,,
197033,density_only,193750,200000,0.974721746790727,mixed_keep_75_noise_25,mixed,,,
22037,density_only,18751,25001,0.9742399738615621,mixed_keep_75_noise_25,mixed,,,
128287,density_only,125000,131250,0.9740799512829655,mixed_keep_75_noise_25,mixed,,,
190787,density_only,187500,193750,0.974079372439955,mixed_keep_75_noise_25,mixed,,,
28289,density_only,25001,31251,0.9739205495127443,mixed_keep_75_noise_25,mixed,,,
65789,density_only,62501,68751,0.9739201412253309,mixed_keep_75_noise_25,mixed,,,
71713,density_only,68751,75001,0.9739197287892543,mixed_keep_75_noise_25,mixed,,,
52963,density_only,50001,56251,0.9739195706963898,mixed_keep_75_noise_25,mixed,,,
97039,density_only,93751,100001,0.9739186512469292,mixed_keep_75_noise_25,mixed,,,
2963,density_only,2,6251,0.9738363421084391,mixed_keep_75_noise_25,mixed,,,
178289,density_only,175000,181250,0.9737588277444245,mixed_keep_75_noise_25,mixed,,,
84211,density_only,81251,87501,0.9735992688934315,mixed_keep_75_noise_25,mixed,,,
103291,density_only,100001,106250,0.9735161395183816,mixed_keep_75_noise_25,mixed,,,
171707,density_only,168750,175000,0.9731204647799511,mixed_keep_75_noise_25,mixed,,,
165457,density_only,162500,168750,0.9731174621807946,mixed_keep_75_noise_25,mixed,,,
15797,density_only,12501,18751,0.97263966324263,mixed_keep_75_noise_25,mixed,,,
147047,density_only,143750,150000,0.9724796116210277,mixed_keep_75_noise_25,mixed,,,
140797,density_only,137500,143750,0.9724790735703676,mixed_keep_75_noise_25,mixed,,,
102953,density_only,100001,106250,0.9723957337561706,mixed_keep_75_noise_25,mixed,,,
9203,density_only,6251,12501,0.9723188455831631,mixed_keep_75_noise_25,mixed,,,
34549,density_only,31251,37501,0.9723178758280572,mixed_keep_75_noise_25,mixed,,,
9551,density_only,6251,12501,0.9720007425822966,mixed_keep_75_noise_25,mixed,,,
47051,density_only,43751,50001,0.9720004422840046,mixed_keep_75_noise_25,mixed,,,
52951,density_only,50001,56251,0.9720001377674221,mixed_keep_75_noise_25,mixed,,,
15803,density_only,12501,18751,0.9716806549199911,mixed_keep_75_noise_25,mixed,,,
9199,density_only,6251,12501,0.9716800012398205,mixed_keep_75_noise_25,mixed,,,
184553,density_only,181250,187500,0.9715222604770792,mixed_keep_75_noise_25,mixed,,,
121697,density_only,118750,125000,0.9715197169784151,mixed_keep_75_noise_25,mixed,,,
152947,density_only,150000,156250,0.9715185687717627,mixed_keep_75_noise_25,mixed,,,
65447,density_only,62501,68751,0.9713609914977912,mixed_keep_75_noise_25,mixed,,,
3307,density_only,2,6251,0.9711155368816425,mixed_keep_75_noise_25,mixed,,,
59557,density_only,56251,62501,0.9710406535490329,mixed_keep_75_noise_25,mixed,,,
103307,density_only,100001,106250,0.9709552776255531,mixed_keep_75_noise_25,mixed,,,
53309,density_only,50001,56251,0.9707198921419491,mixed_keep_75_noise_25,mixed,,,
47059,density_only,43751,50001,0.9707196844492813,mixed_keep_75_noise_25,mixed,,,
71693,density_only,68751,75001,0.9707194479824328,mixed_keep_75_noise_25,mixed,,,
197059,density_only,193750,200000,0.9705612084858015,mixed_keep_75_noise_25,mixed,,,
152941,density_only,150000,156250,0.9705595333530086,mixed_keep_75_noise_25,mixed,,,
134191,density_only,131250,137500,0.9705586572553729,mixed_keep_75_noise_25,mixed,,,
128311,density_only,125000,131250,0.9702424777685489,mixed_keep_75_noise_25,mixed,,,
152939,density_only,150000,156250,0.9702396594122857,mixed_keep_75_noise_25,mixed,,,
115811,density_only,112500,118750,0.9702393438233555,mixed_keep_75_noise_25,mixed,,,
15439,density_only,12501,18751,0.9700796923129635,mixed_keep_75_noise_25,mixed,,,
40813,density_only,37501,43751,0.9700779647973916,mixed_keep_75_noise_25,mixed,,,
2939,density_only,2,6251,0.969994301997036,mixed_keep_75_noise_25,mixed,,,
