transition,anchor_residue,next_residue,z_center,empirical_pdf,exp_pdf,delta
7->13,7,13,3.6428571428571432,0.0,0.026250527109631196,-0.026250527109631196
7->13,7,13,3.7285714285714286,0.0029999142881632053,0.024094215320462204,-0.021094301032299
7->13,7,13,3.814285714285714,0.0,0.02211503066145294,-0.02211503066145294
7->13,7,13,3.9000000000000004,0.0,0.02029842327928616,-0.02029842327928616
7->13,7,13,3.9857142857142858,0.0,0.01863103849741608,-0.01863103849741608
7->13,7,13,4.071428571428571,0.0,0.017100618639991582,-0.017100618639991582
7->13,7,13,4.157142857142857,0.0,0.01569591292031223,-0.01569591292031223
7->13,7,13,4.242857142857143,0.0,0.014406594731367297,-0.014406594731367297
7->13,7,13,4.328571428571429,0.0,0.013223185730424613,-0.013223185730424613
7->13,7,13,4.414285714285715,0.0,0.012136986159581541,-0.012136986159581541
7->13,7,13,4.5,0.0,0.011140010890034115,-0.011140010890034115
7->13,7,13,4.585714285714285,0.020999400017142223,0.010224930719897714,0.010774469297244509
7->13,7,13,4.671428571428572,0.0029999142881632053,0.009385018494033781,-0.006385104205870576
7->13,7,13,4.757142857142857,0.008999742864489617,0.008614099649785918,0.000385643214703699
7->13,7,13,4.842857142857143,0.005999828576326348,0.007906506825065263,-0.001906678248738915
7->13,7,13,4.928571428571429,0.0,0.007257038195089519,-0.007257038195089519
7->13,7,13,5.014285714285714,0.0,0.0066609192314905025,-0.0066609192314905025
7->13,7,13,5.1,0.002999914288163174,0.006113767602664896,-0.003113853314501722
7->13,7,13,5.185714285714286,0.0,0.005611560957335133,-0.005611560957335133
7->13,7,13,5.271428571428571,0.0029999142881632053,0.005150607354483377,-0.002150693066320172
7->13,7,13,5.357142857142858,0.0,0.004727518122275987,-0.004727518122275987
7->13,7,13,5.442857142857143,0.0,0.0043391829464526546,-0.0043391829464526546
7->13,7,13,5.5285714285714285,0.0,0.00398274700504392,-0.00398274700504392
7->13,7,13,5.614285714285714,0.0,0.0036555899813244695,-0.0036555899813244695
7->13,7,13,5.7,0.0,0.0033553068007171737,-0.0033553068007171737
7->13,7,13,5.785714285714286,0.0,0.0030796899500364562,-0.0030796899500364562
7->13,7,13,5.871428571428572,0.0,0.0028267132490919456,-0.0028267132490919456
7->13,7,13,5.957142857142857,0.0,0.0025945169553504453,-0.0025945169553504453
7->17,7,17,0.04285714285714286,0.0,0.9607229454284076,-0.9607229454284076
7->17,7,17,0.12857142857142856,0.0,0.8818057410347337,-0.8818057410347337
7->17,7,17,0.21428571428571427,0.0,0.8093710768769816,-0.8093710768769816
7->17,7,17,0.3,0.0,0.7428864540123261,-0.7428864540123261
7->17,7,17,0.38571428571428573,0.0,0.6818631148576237,-0.6818631148576237
7->17,7,17,0.4714285714285714,0.0,0.6258524501183417,-0.6258524501183417
