window_left,window_right,window_mid,density_error,gap_drift,instability,gap_multiplier,density_multiplier,w_density,w_gap,w_neighbor,scenario,kind
40002,50002,45002.0,0.0064516129032258064,0.5773956798050601,0.3204708496992347,1.5608239869736606,0.6406872320939512,0.27131443072189343,0.5875275454504951,0.14115802382761156,mixed_keep_25_noise_100,mixed
45002,55002,50002.0,0.002183406113537118,0.5782640318205164,0.3190277502523758,1.5582985629416575,0.6417255484804294,0.27189304735710634,0.5868767709860914,0.1412301816568023,mixed_keep_25_noise_100,mixed
50002,60002,55002.0,0.008658008658008658,0.5741935197546459,0.3197025397611592,1.5594794445820286,0.6412396158693966,0.2716222849711323,0.5871812583279068,0.14119645670096095,mixed_keep_25_noise_100,mixed
55002,65002,60002.0,0.011086474501108648,0.5870236436043942,0.32785191750791576,1.5737408556388526,0.6354286326220175,0.26838028622465215,0.5908327066820865,0.14078700709326142,mixed_keep_25_noise_100,mixed
60002,70002,65002.0,0.006825938566552901,0.5850605605850144,0.32485498067670676,1.5684962161842368,0.6375533391038408,0.26956655027656906,0.5894954116838856,0.14093803803954544,mixed_keep_25_noise_100,mixed
65002,75002,70002.0,0.006666666666666667,0.5646886129899779,0.31357873714448786,1.5487627900028538,0.645676669438938,0.2740926043401625,0.5844059201208314,0.14150147553900616,mixed_keep_25_noise_100,mixed
70002,80002,75002.0,0.008879023307436182,0.5750399925477234,0.32026755638959414,1.5604682236817897,0.6408332991495248,0.2713958434711564,0.5874359599368248,0.14116819659201882,mixed_keep_25_noise_100,mixed
75002,85002,80002.0,0.010180995475113122,0.587023472496597,0.32744435783692927,1.573027626214626,0.6357167435173567,0.26854120216671906,0.5906512212382355,0.14080757659504534,mixed_keep_25_noise_100,mixed
80002,90002,85002.0,0.01596351197263398,0.5955189070582869,0.33471897926974314,1.5857582137220505,0.6306131611658665,0.26568808792040804,0.5938728895102943,0.14043902256929777,mixed_keep_25_noise_100,mixed
85002,95002,90002.0,0.019318181818181818,0.5993530792075544,0.33833737538233677,1.5920904069190893,0.6281050345219625,0.26428391320050665,0.5954614591629721,0.14025462763652127,mixed_keep_25_noise_100,mixed
90002,100002,95002.0,0.009111617312072893,0.5965569557710773,0.3322065534645253,1.5813614685629194,0.6323664891802135,0.2666689014726938,0.5927644566429998,0.1405666418843065,mixed_keep_25_noise_100,mixed
95002,105002,100002.0,0.0011534025374855825,0.583844408775824,0.32163345596857174,1.5628585479450006,0.6398531724543453,0.27084946215430655,0.5880507388009721,0.1410997990447213,mixed_keep_25_noise_100,mixed
100002,110002,105002.0,0.0023228803716608595,0.586182979219993,0.32344593473824357,1.5660303857919262,0.638557213878267,0.27012668527301664,0.5888644490100513,0.14100886571693216,mixed_keep_25_noise_100,mixed
105002,115002,110002.0,0.0047169811320754715,0.6077474886683978,0.3363837602770528,1.5886715804848424,0.6294567186094011,0.26504081703256993,0.5946049117380545,0.1403542712293756,mixed_keep_25_noise_100,mixed
110002,120002,115002.0,0.009433962264150943,0.610528915495465,0.3400361865413737,1.595063326447404,0.6269343564103154,0.26362806149114415,0.5962041209398743,0.1401678175689817,mixed_keep_25_noise_100,mixed
115002,125002,120002.0,0.012761020881670533,0.5906051637445863,0.3305752994562742,1.57850677404848,0.6335101099599636,0.2673082904559457,0.5920423937960447,0.14064931574800962,mixed_keep_25_noise_100,mixed
120002,130002,125002.0,0.008158508158508158,0.5809152264432799,0.32317470321513264,1.5655557306264822,0.6387508157246079,0.27023468403482526,0.5887428298969224,0.14102248606825246,mixed_keep_25_noise_100,mixed
125002,135002,130002.0,0.014251781472684086,0.6013077468409116,0.3371325624252092,1.5899819842441163,0.628937943894631,0.2647503632600414,0.5949335341047748,0.14031610263518374,mixed_keep_25_noise_100,mixed
130002,140002,135002.0,0.01645123384253819,0.5939349536816144,0.33406727975403017,1.5846177395695529,0.6310670233135475,0.2659420414778051,0.5935857996478376,0.14047215887435727,mixed_keep_25_noise_100,mixed
135002,145002,140002.0,0.004728132387706856,0.5806430061042207,0.3214813129317895,1.5625922976306317,0.6399621971235274,0.2709102497553517,0.587982327039014,0.14110742320563444,mixed_keep_25_noise_100,mixed
140002,150002,145002.0,0.003575685339690107,0.5729131058546854,0.3167112666229375,1.5542447165901407,0.6433993240098645,0.27282526443443006,0.5858289936323964,0.14134574193317362,mixed_keep_25_noise_100,mixed
145002,155002,150002.0,0.00823529411764706,0.5803072435927196,0.32287486632893697,1.5650310160756398,0.6389649724051659,0.2703541393328147,0.5886083228737553,0.14103753779343003,mixed_keep_25_noise_100,mixed
150002,160002,155002.0,0.010778443113772455,0.6061397765134614,0.33822717648360145,1.5918975588463025,0.628181125376391,0.26432653195826133,0.5954132143875169,0.1402602536542218,mixed_keep_25_noise_100,mixed
155002,165002,160002.0,0.006082725060827251,0.5920131410326424,0.32834445384532557,1.5746027942293197,0.6350807985765351,0.2681859894888184,0.5910518743704322,0.14076213614074948,mixed_keep_25_noise_100,mixed
160002,170002,165002.0,0.004920049200492005,0.5988663112062415,0.33159049330365425,1.5802833632813948,0.632797903993332,0.266910134927042,0.5924919831674923,0.14059788190546563,mixed_keep_25_noise_100,mixed
165002,175002,170002.0,0.009732360097323601,0.5876995011529993,0.32761428767794526,1.5733250034364041,0.6355965854580797,0.26847409359301905,0.5907269049987068,0.14079900140827403,mixed_keep_25_noise_100,mixed
170002,180002,175002.0,0.00591016548463357,0.5825535742174449,0.3230640402876799,1.56536207050344,0.638829839334479,0.2702787641198895,0.5886931939415035,0.14102804193860702,mixed_keep_25_noise_100,mixed
175002,185002,180002.0,0.021712907117008445,0.609000727061598,0.3447212080865327,1.6032621141514323,0.6237283293688229,0.2618305090206484,0.5982418458320882,0.13992764514726347,mixed_keep_25_noise_100,mixed
180002,190002,185002.0,0.02781136638452237,0.5988038706040855,0.3418572437052821,1.5982501764842436,0.625684273159133,0.2629274139303375,0.59699799083076,0.14007459523890253,mixed_keep_25_noise_100,mixed
185002,195002,190002.0,0.008454106280193236,0.5967733690103016,0.33202970078175287,1.5810519763680675,0.6324902754286181,0.2667381228861549,0.5926862649932241,0.1405756121206212,mixed_keep_25_noise_100,mixed
190002,200000,195001.0,0.0012285012285012285,0.60643656827674,0.33409293810503254,1.584662641683807,0.6310491417513541,0.2659320368716389,0.5935971084425722,0.140470854685789,mixed_keep_25_noise_100,mixed
195002,200000,197501.0,0.0,0.5903876175490064,0.3247131896519535,1.5682480818909186,0.6376542152656407,0.2696228465754619,0.5894319827658923,0.14094517065864587,mixed_keep_25_noise_100,mixed
2,10002,5002.0,0.008136696501220505,0.5420048515616254,0.3017641817844432,1.5280873181227757,0.6544128651159017,0.2789428915103187,0.5789740768238761,0.1420830316658051,biased_low_missing_high_noise,biased_range
5002,15002,10002.0,0.011981566820276499,0.5640284631664071,0.3156073598106483,1.5523128796686345,0.6442000276474326,0.27327099215274697,0.5853283142610747,0.1414006935861785,biased_low_missing_high_noise,biased_range
