window_index,midpoint,anchor_mod30,z_center,empirical_pdf,exp_pdf,delta
8,6195.053268536115,11,1.9666666666666668,0.0,0.14029616044882603,-0.14029616044882603
8,6195.053268536115,11,2.033333333333333,0.300000000000001,0.13124803807299337,0.16875196192700762
8,6195.053268536115,11,2.0999999999999996,0.29999999999999905,0.12278345638898103,0.17721654361101802
8,6195.053268536115,11,2.166666666666667,0.0,0.1148647810982167,-0.1148647810982167
8,6195.053268536115,11,2.2333333333333334,0.0,0.10745680505150948,-0.10745680505150948
8,6195.053268536115,11,2.3,0.0,0.10052659171486797,-0.10052659171486797
8,6195.053268536115,11,2.3666666666666667,0.0,0.09404332873068051,-0.09404332873068051
8,6195.053268536115,11,2.4333333333333336,0.0,0.08797819092317623,-0.08797819092317623
8,6195.053268536115,11,2.5,0.0,0.08230421213907665,-0.08230421213907665
8,6195.053268536115,11,2.5666666666666664,0.0,0.0769961653536303,-0.0769961653536303
8,6195.053268536115,11,2.6333333333333333,0.0,0.07203045050897056,-0.07203045050897056
8,6195.053268536115,11,2.7,0.0,0.06738498958611619,-0.06738498958611619
8,6195.053268536115,11,2.7666666666666666,0.0,0.06303912844409452,-0.06303912844409452
8,6195.053268536115,11,2.833333333333333,0.0,0.05897354498975579,-0.05897354498975579
8,6195.053268536115,11,2.9,0.0,0.05517016326999288,-0.05517016326999288
8,6195.053268536115,11,2.966666666666667,0.0,0.05161207310441313,-0.05161207310441313
8,6195.053268536115,11,3.033333333333333,0.300000000000001,0.04828345490114099,0.25171654509886
8,6195.053268536115,11,3.0999999999999996,0.0,0.0451695093214765,-0.0451695093214765
8,6195.053268536115,11,3.166666666666667,0.0,0.042256391480692004,-0.042256391480692004
8,6195.053268536115,11,3.2333333333333334,0.0,0.039531149392417926,-0.039531149392417926
8,6195.053268536115,11,3.3,0.0,0.036981666382935374,-0.036981666382935374
8,6195.053268536115,11,3.3666666666666667,0.0,0.034596607219344995,-0.034596607219344995
8,6195.053268536115,11,3.4333333333333336,0.29999999999999905,0.03236536771209253,0.2676346322879065
8,6195.053268536115,11,3.5,0.300000000000001,0.030278027567779357,0.2697219724322216
8,6195.053268536115,11,3.5666666666666664,0.0,0.028325306282637477,-0.028325306282637477
8,6195.053268536115,11,3.6333333333333333,0.0,0.02649852188056732,-0.02649852188056732
8,6195.053268536115,11,3.7,0.29999999999999905,0.024789552312283886,0.2752104476877152
8,6195.053268536115,11,3.7666666666666666,0.0,0.02319079934394827,-0.02319079934394827
8,6195.053268536115,11,3.833333333333333,0.0,0.02169515477473027,-0.02169515477473027
8,6195.053268536115,11,3.9,0.0,0.020295968833102217,-0.020295968833102217
8,6195.053268536115,11,3.966666666666667,0.0,0.018987020611351133,-0.018987020611351133
8,6195.053268536115,11,4.033333333333333,0.0,0.017762490406858282,-0.017762490406858282
8,6195.053268536115,11,4.1,0.0,0.016616933847173034,-0.016616933847173034
8,6195.053268536115,11,4.166666666666666,0.0,0.015545257683838685,-0.015545257683838685
8,6195.053268536115,11,4.233333333333333,0.0,0.01454269714734751,-0.01454269714734751
8,6195.053268536115,11,4.3,0.0,0.013604794762542978,-0.013604794762542978
8,6195.053268536115,11,4.366666666666667,0.0,0.012727380530280517,-0.012727380530280517
8,6195.053268536115,11,4.433333333333334,0.0,0.011906553387232842,-0.011906553387232842
8,6195.053268536115,11,4.5,0.0,0.011138663861408195,-0.011138663861408195
8,6195.053268536115,11,4.566666666666666,0.0,0.01042029784626662,-0.01042029784626662
8,6195.053268536115,11,4.633333333333333,0.0,0.009748261421292348,-0.009748261421292348
8,6195.053268536115,11,4.7,0.0,0.009119566651533231,-0.009119566651533231
8,6195.053268536115,11,4.766666666666667,0.0,0.00853141830297074,-0.00853141830297074
8,6195.053268536115,11,4.833333333333333,0.0,0.00798120141465572,-0.00798120141465572
8,6195.053268536115,11,4.9,0.0,0.00746646967235465,-0.00746646967235465
8,6195.053268536115,11,4.966666666666667,0.0,0.0069849345320145105,-0.0069849345320145105
8,6195.053268536115,11,5.033333333333333,0.0,0.006534455044688131,-0.006534455044688131
8,6195.053268536115,11,5.1,0.0,0.006113028337680839,-0.006113028337680839
8,6195.053268536115,11,5.166666666666666,0.0,0.005718780709596645,-0.005718780709596645
8,6195.053268536115,11,5.233333333333333,0.0,0.005349959299691729,-0.005349959299691729
8,6195.053268536115,11,5.3,0.0,0.005004924294496477,-0.005004924294496477
8,6195.053268536115,11,5.366666666666667,0.0,0.004682141637055892,-0.004682141637055892
8,6195.053268536115,11,5.433333333333334,0.0,0.004380176206373162,-0.004380176206373162
8,6195.053268536115,11,5.5,0.0,0.0040976854367313865,-0.0040976854367313865
8,6195.053268536115,11,5.566666666666666,0.0,0.003833413348524548,-0.003833413348524548
8,6195.053268536115,11,5.633333333333333,0.0,0.003586184964058159,-0.003586184964058159
8,6195.053268536115,11,5.7,0.0,0.0033549010834917664,-0.0033549010834917664
