window_index,midpoint,anchor_residue,next_residue,transition_probability,global_transition_probability,delta_from_global
10,35263.66352210161,1,1,0.012919896640826873,0.02815533980582524,-0.015235443164998369
10,35263.66352210161,1,7,0.3281653746770026,0.2790722761596548,0.04909309851734778
10,35263.66352210161,1,11,0.20155038759689922,0.21429341963322546,-0.012743032036326235
10,35263.66352210161,1,13,0.165374677002584,0.16251348435814456,0.002861192644439431
10,35263.66352210161,1,17,0.11369509043927649,0.11558791801510249,-0.0018928275758259977
10,35263.66352210161,1,19,0.07751937984496124,0.08511326860841424,-0.007593888763453002
10,35263.66352210161,1,23,0.06201550387596899,0.06957928802588997,-0.007563784149920982
10,35263.66352210161,1,29,0.03875968992248062,0.04568500539374326,-0.006925315471262641
10,35263.66352210161,7,1,0.02763819095477387,0.038926174496644296,-0.011287983541870425
10,35263.66352210161,7,7,0.017587939698492462,0.029798657718120805,-0.012210718019628343
10,35263.66352210161,7,11,0.3316582914572864,0.2886979865771812,0.042960304880105216
10,35263.66352210161,7,13,0.2236180904522613,0.20880536912751677,0.014812721324744538
10,35263.66352210161,7,17,0.16080402010050251,0.16204026845637584,-0.0012362483558733262
10,35263.66352210161,7,19,0.12060301507537688,0.1181744966442953,0.0024285184310815777
10,35263.66352210161,7,23,0.07035175879396985,0.08424161073825503,-0.013889851944285186
10,35263.66352210161,7,29,0.04773869346733668,0.06931543624161074,-0.021576742774274058
10,35263.66352210161,11,1,0.04404145077720207,0.05625268125268125,-0.01221123047547918
10,35263.66352210161,11,7,0.023316062176165803,0.04895967395967396,-0.025643611783508158
10,35263.66352210161,11,11,0.023316062176165803,0.03019090519090519,-0.006874843014739389
10,35263.66352210161,11,13,0.3471502590673575,0.28716216216216217,0.059988096905195354
10,35263.66352210161,11,17,0.23575129533678757,0.21541184041184042,0.020339454924947153
10,35263.66352210161,11,19,0.13212435233160622,0.16092878592878593,-0.028804433597179713
10,35263.66352210161,11,23,0.11917098445595854,0.11599099099099099,0.0031799934649675565
10,35263.66352210161,11,29,0.07512953367875648,0.0851029601029601,-0.009973426424203624
10,35263.66352210161,13,1,0.04461942257217848,0.07907575188977645,-0.03445632931759797
10,35263.66352210161,13,7,0.03674540682414698,0.061062563662681604,-0.024317156838534623
10,35263.66352210161,13,11,0.015748031496062992,0.050876534605693455,-0.03512850310963046
10,35263.66352210161,13,13,0.010498687664041995,0.02980753766150217,-0.019308849997460176
10,35263.66352210161,13,17,0.3543307086614173,0.28606658446362515,0.06826412419779215
10,35263.66352210161,13,19,0.2572178477690289,0.21379938883825658,0.04341845893077231
10,35263.66352210161,13,23,0.17060367454068243,0.1609392591004128,0.009664415440269636
10,35263.66352210161,13,29,0.11023622047244094,0.11837237977805179,-0.008136159305610846
10,35263.66352210161,17,1,0.12041884816753927,0.13029717841433322,-0.009878330246793951
10,35263.66352210161,17,7,0.07853403141361257,0.07440188820941959,0.004132143204192973
10,35263.66352210161,17,11,0.03926701570680628,0.05830919429245789,-0.01904217858565161
10,35263.66352210161,17,13,0.020942408376963352,0.043611200514966204,-0.022668792138002852
10,35263.66352210161,17,17,0.01832460732984293,0.029181418302757216,-0.010856810972914285
10,35263.66352210161,17,19,0.32460732984293195,0.2887565711833494,0.03585075865958254
10,35263.66352210161,17,23,0.24345549738219896,0.215266602295891,0.028188895086307952
10,35263.66352210161,17,29,0.1544502617801047,0.16017594678682545,-0.005725685006720743
10,35263.66352210161,19,1,0.17506631299734748,0.15973753563168935,0.01532877736565813
10,35263.66352210161,19,7,0.09283819628647215,0.1069219598773732,-0.01408376359090105
10,35263.66352210161,19,11,0.10344827586206896,0.09675684397353843,0.0066914318885305385
10,35263.66352210161,19,13,0.03713527851458886,0.058624213413650296,-0.021488934899061438
10,35263.66352210161,19,17,0.01856763925729443,0.05007260797074168,-0.031504968713447254
10,35263.66352210161,19,19,0.015915119363395226,0.029312106706825148,-0.013396987343429922
10,35263.66352210161,19,23,0.3129973474801061,0.28634432313236163,0.02665302434774447
10,35263.66352210161,19,29,0.2440318302387268,0.21223040929382025,0.03180142094490654
10,35263.66352210161,23,1,0.23834196891191708,0.21654749744637386,0.021794471465543225
10,35263.66352210161,23,7,0.16321243523316062,0.18536637815171228,-0.02215394291855166
10,35263.66352210161,23,11,0.12953367875647667,0.10391914413203591,0.025614534624440757
10,35263.66352210161,23,13,0.05958549222797927,0.07601741841836461,-0.01643192619038534
10,35263.66352210161,23,17,0.012953367875647668,0.059512929412397185,-0.04655956153674952
10,35263.66352210161,23,19,0.02849740932642487,0.046932960593516475,-0.018435551267091604
10,35263.66352210161,23,23,0.015544041450777202,0.026772754153002527,-0.011228712702225325
10,35263.66352210161,23,29,0.35233160621761656,0.28493091769259715,0.0674006885250194
10,35263.66352210161,29,1,0.3316582914572864,0.28678799591990123,0.044870295537385196
10,35263.66352210161,29,7,0.28391959798994976,0.2158157513287164,0.06810384666123337
10,35263.66352210161,29,11,0.14321608040201006,0.15928490900306008,-0.016068828601050023
10,35263.66352210161,29,13,0.11557788944723618,0.13550222794867664,-0.01992433850144046
10,35263.66352210161,29,17,0.0728643216080402,0.08299779889407849,-0.010133477286038292
10,35263.66352210161,29,19,0.022613065326633167,0.054973962527513826,-0.03236089720088066
10,35263.66352210161,29,23,0.01507537688442211,0.03983464862833521,-0.0247592717439131
10,35263.66352210161,29,29,0.01507537688442211,0.02480270574971815,-0.00972732886529604
11,86504.81198754205,1,1,0.016,0.02815533980582524,-0.012155339805825241
11,86504.81198754205,1,7,0.32342857142857145,0.2790722761596548,0.04435629526891666
11,86504.81198754205,1,11,0.22742857142857142,0.21429341963322546,0.013135151795345967
11,86504.81198754205,1,13,0.15085714285714286,0.16251348435814456,-0.011656341501001699
11,86504.81198754205,1,17,0.10857142857142857,0.11558791801510249,-0.007016489443673918
11,86504.81198754205,1,19,0.08571428571428572,0.08511326860841424,0.0006010171058714736
11,86504.81198754205,1,23,0.060571428571428575,0.06957928802588997,-0.009007859454461399
11,86504.81198754205,1,29,0.027428571428571427,0.04568500539374326,-0.018256433965171834
11,86504.81198754205,7,1,0.026436781609195402,0.038926174496644296,-0.012489392887448894
11,86504.81198754205,7,7,0.016091954022988506,0.029798657718120805,-0.0137067036951323
11,86504.81198754205,7,11,0.33448275862068966,0.2886979865771812,0.04578477204350845
11,86504.81198754205,7,13,0.23218390804597702,0.20880536912751677,0.023378538918460257
11,86504.81198754205,7,17,0.16206896551724137,0.16204026845637584,2.8697060865529034e-05
11,86504.81198754205,7,19,0.11494252873563218,0.1181744966442953,-0.0032319679086631192
11,86504.81198754205,7,23,0.07011494252873564,0.08424161073825503,-0.014126668209519397
11,86504.81198754205,7,29,0.04367816091954023,0.06931543624161074,-0.02563727532207051
11,86504.81198754205,11,1,0.06108597285067873,0.05625268125268125,0.004833291597997481
