transition,anchor_residue,next_residue,count,probability,mean_z,std_z,l1_residual,l2_residual,positive_residual_mass,negative_residual_mass,tail_bias_z_ge_3,tail_p_z_gt_2,tail_p_z_gt_3
23->17,23,17,1107,0.059512929412397185,1.9172539420431771,0.6010730061899868,1.770153977661203,1.7458414810766985,0.8850769888306015,-0.8850769888306015,0.006921952909389755,0.12737127371273713,0.056910569105691054
23->19,23,19,873,0.046932960593516475,2.0954007031926727,0.6526119096815451,1.7694066327765539,1.7455757281668713,0.8847033163882767,-0.8847033163882767,0.020624876534082612,0.23940435280641467,0.07445589919816724
17->13,17,13,813,0.043611200514966204,2.0523614169112387,0.5186183668916342,1.7684326637623817,1.8090904370662144,0.8842163318811908,-0.8842163318811908,0.012844729528460221,0.2656826568265683,0.06027060270602706
13->7,13,7,1139,0.061062563662681604,1.9257067590144796,0.5905703509064387,1.7655666101369083,1.741885950829474,0.882783305068454,-0.882783305068454,0.016721754238953446,0.12291483757682177,0.0649692712906058
7->1,7,1,725,0.038926174496644296,1.9471398355592824,0.6359849917395939,1.7651343975283242,1.7570039992658886,0.8825671987641619,-0.8825671987641618,0.02449667177402384,0.1393103448275862,0.07448275862068965
19->13,19,13,1090,0.058624213413650296,1.9375558575792138,0.6151789573303208,1.761551089490431,1.7750362554149042,0.8807755447452155,-0.8807755447452151,0.02328119752950394,0.13761467889908258,0.07155963302752294
29->19,29,19,1024,0.054973962527513826,1.6350326719951394,0.6103011236329705,1.7484416134914251,1.9304395122767415,0.8742208067457125,-0.8742208067457125,0.015074126822433266,0.0693359375,0.0625
11->1,11,1,1049,0.05625268125268125,1.6011321589960887,0.5307173092362691,1.7470306520000332,1.9487656514361864,0.8735153260000166,-0.8735153260000164,-0.0007147196980624774,0.05052430886558627,0.04671115347950429
23->13,23,13,1414,0.07601741841836461,1.6172551491825056,0.560932764631006,1.7262271725995486,1.9382358949155916,0.8631135862997743,-0.8631135862997741,0.005652683085702887,0.06152758132956153,0.05374823196605375
7->29,7,29,1291,0.06931543624161074,1.7446076381233588,0.5188735642388802,1.7227931147438746,1.7456281413004462,0.8613965573719372,-0.8613965573719372,0.0005989138092651507,0.07436096049573973,0.048024786986831915
1->23,1,23,1290,0.06957928802588997,1.7547471311925134,0.5750683078482487,1.7225541563275955,1.7009504024634647,0.861277078163798,-0.861277078163798,-0.003171214792473611,0.07441860465116279,0.04573643410852713
19->11,19,11,1799,0.09675684397353843,1.7640924124435347,0.5375319079457502,1.7108852600704008,1.66734093686599,0.8554426300352004,-0.8554426300352005,0.0015718996509410047,0.08449138410227905,0.05058365758754864
17->7,17,7,1387,0.07440188820941959,1.6724415309005054,0.6496892254350849,1.7104201484252537,1.8914047794335676,0.8552100742126265,-0.8552100742126264,0.02688870113700758,0.09012256669069935,0.07498197548666186
13->1,13,1,1475,0.07907575188977645,1.4756426625686199,0.5768965304328061,1.6960008182911834,1.7752291177716386,0.8480004091455914,-0.8480004091455916,0.010201245466501033,0.061016949152542375,0.0576271186440678
29->17,29,17,1546,0.08299779889407849,1.4932429351975685,0.6179223327028578,1.695248998898578,1.764780641442208,0.8476244994492887,-0.8476244994492892,0.016651796725345856,0.06532988357050452,0.0646830530401035
11->29,11,29,1587,0.0851029601029601,1.456566917610084,0.5501623019468246,1.6904275275730678,1.7886504204404026,0.8452137637865336,-0.8452137637865339,0.0017234651967243228,0.05103969754253308,0.04914933837429111
1->19,1,19,1578,0.08511326860841424,1.4621974394875064,0.5129128151902503,1.6864083650807562,1.7405777408177983,0.8432041825403778,-0.8432041825403779,0.003937474951792753,0.055133079847908745,0.051964512040557666
19->7,19,7,1988,0.1069219598773732,1.478185602003141,0.5948777988724537,1.67882319287013,1.7560246484055144,0.8394115964350647,-0.8394115964350649,0.005920880722785521,0.059356136820925554,0.053822937625754526
29->13,29,13,2524,0.13550222794867664,1.1725349419894344,0.5200406832400151,1.6661500272035255,1.9825557875035718,0.8330750136017624,-0.8330750136017625,0.007249245681387222,0.055071315372424726,0.05467511885895404
17->1,17,1,2429,0.13029717841433322,1.1728622129968995,0.5523623779890973,1.6634502719930349,2.011497888562766,0.8317251359965172,-0.8317251359965172,0.005270709778382137,0.0531082750102923,0.05269658295594895
23->11,23,11,1933,0.10391914413203591,1.4616310410585482,0.516383959808626,1.658510856140691,1.7458103856179892,0.8292554280703454,-0.8292554280703455,0.0022378619491791956,0.05431971029487843,0.04966373512674599
23->7,23,7,3448,0.18536637815171228,1.1806297708272253,0.5526807848397083,1.657547783160556,1.9858731421884759,0.8287738915802778,-0.8287738915802777,0.008290899892659567,0.05771461716937355,0.05626450116009281
13->23,13,23,3002,0.1609392591004128,0.9193920876029449,0.6283790573903273,1.6556011291342307,2.3846020613160346,0.8278005645671151,-0.8278005645671153,-0.02609964858576405,0.07195203197868089,0.021652231845436375
1->11,1,11,3973,0.21429341963322546,0.91176774260819,0.6195481997690486,1.6502505180631672,2.361089176338827,0.8251252590315836,-0.8251252590315836,-0.02678136159649931,0.06594512962496854,0.020891014346841177
7->17,7,17,3018,0.16204026845637584,0.926861105297847,0.6448573315326664,1.6494980591704873,2.372848160069861,0.8247490295852437,-0.8247490295852437,-0.02090067423857475,0.07388999337309476,0.027170311464546057
19->23,19,23,5324,0.28634432313236163,0.486361344823958,0.6411788851400242,1.6474834940735754,2.715549061457409,0.8237417470367875,-0.8237417470367876,-0.04310500148866954,0.07945154019534185,0.004507888805409466
7->11,7,11,5377,0.2886979865771812,0.48305800135315974,0.6425414919168138,1.6406760757865473,2.7163302960952485,0.8203380378932734,-0.820338037893274,-0.0409154565109001,0.07643667472568347,0.006695183187651107
7->23,7,23,1569,0.08424161073825503,1.3482330512696812,0.6231688896380466,1.64061692651868,1.8831457663380764,0.8203084632593397,-0.8203084632593397,0.016349637026514784,0.06437221159974506,0.06437221159974506
19->29,19,29,3946,0.21223040929382025,0.9181716068379308,0.6211749668288027,1.6384730229713087,2.330524335667149,0.819236511485654,-0.8192365114856542,-0.023851728690874766,0.06893056259503294,0.02382159148504815
1->17,1,17,2143,0.11558791801510249,1.3247080812481988,0.5276453589101263,1.6379035715512997,1.9081134556959332,0.8189517857756499,-0.8189517857756494,0.010463949418138118,0.059729351376574896,0.05832944470368642
13->29,13,29,2208,0.11837237977805179,1.3535123118780674,0.6018751810563139,1.6361323656767552,1.8284240583556381,0.8180661828383778,-0.8180661828383776,0.017791518126780998,0.06702898550724638,0.06521739130434782
13->17,13,17,5336,0.28606658446362515,0.5078869994366224,0.6809909886050848,1.6330624909093368,2.680091037262555,0.8165312454546683,-0.8165312454546684,-0.03955480870980065,0.08676911544227886,0.007871064467766116
7->19,7,19,2201,0.1181744966442953,1.0539264161748818,0.6146716931800145,1.6199920836197161,1.8011193437383837,0.8099960418098578,-0.8099960418098576,-0.007880418632112245,0.06587914584279873,0.039981826442526125
17->29,17,29,2986,0.16017594678682545,1.063473578429833,0.6056345008418375,1.6133441042536323,1.7894236646101682,0.8066720521268158,-0.8066720521268161,-0.007894884902859948,0.07200267916945746,0.039852645679839246
17->19,17,19,5383,0.2887565711833494,0.3118085133565558,0.5942763066627115,1.6109725369953056,2.6943090450390783,0.8054862684976527,-0.8054862684976524,-0.04426778289333865,0.07003529630317666,0.0031580902842281255
11->19,11,19,3001,0.16092878592878593,0.7724151810047284,0.6153785529229824,1.6108746563154446,2.131145536255665,0.8054373281577222,-0.8054373281577222,-0.03509664958543082,0.07497500833055648,0.012329223592135955
11->23,11,23,2163,0.11599099099099099,1.0576890499632745,0.5873539462142076,1.6101409602855126,1.77968265032835,0.8050704801427562,-0.8050704801427563,-0.009515563422596879,0.06981044845122515,0.03791030975496995
29->11,29,11,2967,0.15928490900306008,1.0532594854017314,0.6002494721914176,1.6056116549078416,1.7915829455746468,0.8028058274539207,-0.8028058274539207,-0.014036328489539826,0.06639703404111898,0.03404111897539602
11->13,11,13,5355,0.28716216216216217,0.3322865732741123,0.6483035677133113,1.6045693011475668,2.673215147313514,0.8022846505737834,-0.8022846505737832,-0.04256787616710341,0.07675070028011205,0.005415499533146592
29->1,29,1,5342,0.28678799591990123,0.33614286879332433,0.6469676284722695,1.6045666615329623,2.6668478098735955,0.802283330766481,-0.802283330766481,-0.04311956349773154,0.07918382628229127,0.004492699363534257
23->1,23,1,4028,0.21654749744637386,0.7711683774715739,0.6176969981890472,1.6022495505812253,2.0827097267866397,0.8011247752906127,-0.8011247752906127,-0.036248525934645774,0.07224428997020854,0.01166832174776564
19->1,19,1,2970,0.15973753563168935,1.0648467825611732,0.6170726122733224,1.5992999816930535,1.7796898413020654,0.7996499908465264,-0.7996499908465268,-0.007008224137485975,0.0707070707070707,0.040740740740740744
1->13,1,13,3013,0.16251348435814456,1.082098688054462,0.6381015920488039,1.5989755182286611,1.7788178442920888,0.7994877591143303,-0.7994877591143302,-0.00028111886149773715,0.08065051443743777,0.04746100232326585
29->7,29,7,4020,0.2158157513287164,0.752011741266891,0.5844483049048635,1.5956541691004462,2.1103728351301005,0.7978270845502228,-0.797827084550223,-0.03598308710791504,0.06293532338308458,0.011442786069651741
7->13,7,13,3889,0.20880536912751677,0.6075308001745693,0.5949705893937507,1.5706735075988483,1.9367881305248889,0.785336753799424,-0.7853367537994239,-0.0407403499068031,0.06659809719722294,0.006685523270763692
11->17,11,17,4017,0.21541184041184042,0.6352705534856564,0.658118900056423,1.5656476081626043,1.9332192046317687,0.7828238040813019,-0.7828238040813021,-0.03895762909288436,0.07692307692307693,0.008961911874533234
13->19,13,19,3988,0.21379938883825658,0.6358277333904812,0.6699836955322402,1.56278106161296,1.937390049749591,0.7813905308064799,-0.7813905308064799,-0.03739075024731089,0.0757271815446339,0.01053159478435306
17->23,17,23,4013,0.215266602295891,0.6100252346696513,0.596704439009507,1.5613310658960455,1.949541872908819,0.7806655329480227,-0.7806655329480227,-0.04044681036600149,0.06753052579117867,0.00722651383005233
1->7,1,7,5174,0.2790722761596548,0.60493726216706,0.5906810502037649,1.5578974051840346,1.95201979826241,0.7789487025920173,-0.7789487025920172,-0.041818757941681245,0.06436026285272517,0.005991495941244685
23->29,23,29,5300,0.28493091769259715,0.6240478465619286,0.6334104443983247,1.555014523445163,1.9344369459461002,0.7775072617225812,-0.7775072617225814,-0.038178845436483574,0.0709433962264151,0.009433962264150943
