step,tv_to_stationary,model
8,1.76132806749274e-07,P2_plus_M4
9,2.6870365703313137e-08,P2_plus_M4
10,3.96816868947214e-09,P2_plus_M4
11,5.677898845535267e-10,P2_plus_M4
12,7.862703543803917e-11,P2_plus_M4
13,1.0636359848437138e-11,P2_plus_M4
14,1.464640908555026e-12,P2_plus_M4
15,2.0570350978132979e-13,P2_plus_M4
16,2.786659791809143e-14,P2_plus_M4
17,3.677613769070831e-15,P2_plus_M4
18,5.134781488891349e-16,P2_plus_M4
19,3.191891195797325e-16,P2_plus_M4
20,2.8449465006019636e-16,P2_plus_M4
21,3.0531133177191805e-16,P2_plus_M4
22,3.0531133177191805e-16,P2_plus_M4
23,3.0531133177191805e-16,P2_plus_M4
24,3.0531133177191805e-16,P2_plus_M4
25,3.0531133177191805e-16,P2_plus_M4
26,3.0531133177191805e-16,P2_plus_M4
27,3.0531133177191805e-16,P2_plus_M4
28,3.0531133177191805e-16,P2_plus_M4
29,3.0531133177191805e-16,P2_plus_M4
