label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5
transition_mod30,23->19,873,2.0954007031926727,0.6526119096815451,1.8938244364003338,2.308430595181385,3.9453913815903054,1.775162741615708,1.7850630150868678,0.8875813708078543,-0.8875813708078542,0.5377572280499281,1.0,0.23940435280641467,0.07445589919816724,0.03665521191294387,0.006872852233676976
transition_mod30,23->23,498,2.352653268542489,0.5899147886450725,2.168922233538121,2.594894001297128,4.184331140287118,1.8304213314583446,1.8632318829630024,0.9152106657291726,-0.9152106657291726,0.5677047251114745,1.0,1.0,0.060240963855421686,0.05823293172690763,0.004016064257028112
transition_mod30,23->29,5300,0.6240478465619286,0.6334104443983247,0.44104847258038493,0.5854628450857956,2.5445109097388774,1.6337979966572804,2.6660856329205425,0.8168989983286402,-0.8168989983286407,0.46070152252878727,0.07245283018867925,0.0709433962264151,0.009433962264150943,0.005471698113207547,0.0011320754716981133
transition_mod30,23->7,3448,1.1806297708272253,0.5526807848397083,1.0235957539738223,1.2526815974531138,3.054817374104775,1.6495235193735631,1.8978351156176265,0.8247617596867816,-0.8247617596867817,0.4642143085885331,0.6496519721577726,0.05771461716937355,0.05626450116009281,0.002900232018561485,0.0026102088167053363
transition_mod30,29->1,5342,0.33614286879332433,0.6469676284722695,0.14694027211267602,0.20258481133200043,2.281365879186701,1.7572912542849284,3.326529456898259,0.8786456271424643,-0.8786456271424642,0.5152045878470195,0.07918382628229127,0.07918382628229127,0.004492699363534257,0.004305503556720329,0.00037439161362785476
transition_mod30,29->11,2967,1.0532594854017314,0.6002494721914176,0.8773872379207251,1.1165370619956911,2.9344303360104207,1.6383982790884883,2.0156454860307362,0.8191991395442441,-0.8191991395442445,0.4608263778412399,0.16245365689248398,0.06639703404111898,0.03404111897539602,0.003370407819346141,0.002696326255476913
transition_mod30,29->13,2524,1.1725349419894344,0.5200406832400151,1.0239312699251695,1.2409741500560463,3.0509915491098285,1.6568571812637671,1.8937295317178604,0.8284285906318836,-0.8284285906318838,0.46734908917484574,0.654120443740095,0.055071315372424726,0.05467511885895404,0.001584786053882726,0.0011885895404120444
transition_mod30,29->17,1546,1.4932429351975685,0.6179223327028578,1.3102244164903332,1.5807016066901713,3.377508090776254,1.6952654017202737,1.8045787421532162,0.8476327008601371,-0.847632700860137,0.4926710544634434,1.0,0.06532988357050452,0.0646830530401035,0.0071151358344113845,0.00646830530401035
transition_mod30,29->19,1024,1.6350326719951394,0.6103011236329705,1.4597538717828171,1.7313269450345965,3.4770824035227585,1.7261531064061872,1.7857927981329764,0.8630765532030935,-0.8630765532030935,0.5046897591824226,1.0,0.0693359375,0.0625,0.009765625,0.0068359375
transition_mod30,29->23,742,1.8795813197057507,0.517528807530654,1.7452059350220903,1.9812056252667436,2.364184065148515,1.7826390747614416,1.8329933187775072,0.891319537380721,-0.8913195373807209,0.5354938280062717,1.0,0.09299191374663072,0.04582210242587601,0.01078167115902965,0.005390835579514825
transition_mod30,29->29,462,2.314560358176506,0.508505018439768,2.171989651462794,2.5118122242205096,2.879634504486458,1.8341770555976762,1.8582160367981075,0.9170885277988384,-0.9170885277988385,0.5697168610102259,1.0,1.0,0.04329004329004329,0.04112554112554113,0.004329004329004329
transition_mod30,29->7,4020,0.752011741266891,0.5844483049048635,0.5865566568026639,0.7552173271385799,2.6640234928150046,1.6232735524011448,2.391090125619976,0.8116367762005725,-0.8116367762005725,0.4550374109514618,0.06691542288557215,0.06293532338308458,0.011442786069651741,0.0037313432835820895,0.0012437810945273632
transition_mod30,7->1,725,1.9471398355592824,0.6359849917395939,1.7414159015226407,2.1456391017972902,3.8056706395437625,1.7536376654658372,1.7754680462635648,0.8768188327329186,-0.8768188327329188,0.5236446046778046,1.0,0.1393103448275862,0.07448275862068965,0.01793103448275862,0.006896551724137931
transition_mod30,7->11,5377,0.48305800135315974,0.6425414919168138,0.2946173646567139,0.4001524479809758,2.4165329332004832,1.6764600541491383,3.015340087332232,0.8382300270745693,-0.8382300270745693,0.48045646839998973,0.07662265203645155,0.07643667472568347,0.006695183187651107,0.004649432769202157,0.0003719546215361726
transition_mod30,7->13,3889,0.6075308001745693,0.5949705893937507,0.4396751978718469,0.5627379152697862,2.526603697157212,1.6476535037127138,2.7084784171309684,0.8238267518563569,-0.8238267518563572,0.46989650587432114,0.06711236821805092,0.06659809719722294,0.006685523270763692,0.0038570326562098224,0.0005142710208279763
transition_mod30,7->17,3018,0.926861105297847,0.6448573315326664,0.73384144923651,0.9428300855942262,2.845021350173039,1.6330429027152091,2.149786265709254,0.8165214513576048,-0.816521451357605,0.45708377111850146,0.08880053015241882,0.07388999337309476,0.027170311464546057,0.004638833664678595,0.0023194168323392977
transition_mod30,7->19,2201,1.0539264161748818,0.6146716931800145,0.8777792755426661,1.0819007829460145,2.961880729216419,1.6516137432268685,2.0238490040692527,0.8258068716134344,-0.8258068716134344,0.4667941845411414,0.15447523852794184,0.06587914584279873,0.039981826442526125,0.005452067242162653,0.00408905043162199
transition_mod30,7->23,1569,1.3482330512696812,0.6231688896380466,1.16562935625673,1.4365323636764522,3.2340609007916554,1.664114966694835,1.8484152418220685,0.8320574833474175,-0.8320574833474177,0.4768075614630166,1.0,0.06437221159974506,0.06437221159974506,0.006373486297004461,0.0057361376673040155
transition_mod30,7->29,1291,1.7446076381233588,0.5188735642388802,1.5984810274307966,1.867119900985216,2.579701548316123,1.7255011001822755,1.8333955498100403,0.8627505500911379,-0.8627505500911379,0.509440827966746,1.0,0.07436096049573973,0.048024786986831915,0.010069713400464756,0.003098373353989156
transition_mod30,7->7,555,2.3139580245691644,0.5055024778599785,2.1691677067790494,2.4693871743374167,2.8869169340394736,1.8312428369424916,1.8862416298892348,0.9156214184712458,-0.915621418471246,0.5711362391553696,1.0,1.0,0.04684684684684685,0.04504504504504504,0.0036036036036036037
