window_index,window_midpoint,count,rank_k,l1_remaining,l2_remaining,frobenius_remaining,captured_energy,rank90,rank95
9,139385.88338852683,9112,2,0.00461998189250238,0.006531969222639737,0.052255753781117895,0.8159258035854826,3,4
9,139385.88338852683,9112,3,0.0027943224596137187,0.003737550581706053,0.029900404653648426,0.939733105755347,3,4
9,139385.88338852683,9112,4,0.002007746964914732,0.0025252077294728582,0.020201661835782866,0.972489475295975,3,4
9,139385.88338852683,9112,5,0.0006722812184145957,0.0009466949154017674,0.007573559323214139,0.9961334400975489,3,4
9,139385.88338852683,9112,6,0.00040805889513809363,0.0005150962162697103,0.004120769730157682,0.998855327173689,3,4
9,139385.88338852683,9112,7,9.507224854924355e-17,9.855597000129754e-17,7.884477600103804e-16,1.0,3,4
9,139385.88338852683,9112,8,7.230273237762708e-18,9.20189648124561e-18,7.361517184996488e-17,1.0,3,4
10,298356.1753207062,18387,0,0.007081645465191962,0.009423528514162222,0.07538822811329778,0.0,4,5
10,298356.1753207062,18387,1,0.005495935510859584,0.007556804239543495,0.06045443391634796,0.35694333219105767,4,5
10,298356.1753207062,18387,2,0.004393854148664339,0.005510533229581141,0.04408426583664913,0.6580519328647072,4,5
10,298356.1753207062,18387,3,0.002493097933095552,0.003133359665108736,0.025066877320869888,0.8894411788982685,4,5
10,298356.1753207062,18387,4,0.0016579769638449616,0.002130455122146991,0.01704364097717593,0.9488886111138739,4,5
10,298356.1753207062,18387,5,0.0008070385815049531,0.0010678969637810693,0.008543175710248554,0.9871580313472378,4,5
10,298356.1753207062,18387,6,0.00030534206263598256,0.0004903223757733793,0.003922579006187034,0.9972927003489184,4,5
10,298356.1753207062,18387,7,4.9343269067588826e-17,5.091879582573989e-17,4.0735036660591914e-16,1.0,4,5
10,298356.1753207062,18387,8,6.5426942428290294e-18,8.347093130238237e-18,6.67767450419059e-17,1.0,4,5
11,638633.0590800949,37099,0,0.004965262237267622,0.006337608969182589,0.05070087175346071,0.0,4,5
11,638633.0590800949,37099,1,0.0036276012107852793,0.004737593205520526,0.03790074564416421,0.441189375003908,4,5
11,638633.0590800949,37099,2,0.0026903018181260166,0.003547777631829203,0.028382221054633623,0.6866267634273209,4,5
11,638633.0590800949,37099,3,0.0019257583942745272,0.0024407391739145494,0.019525913391316395,0.851682681891643,4,5
11,638633.0590800949,37099,4,0.001340006405478799,0.0015789840445314864,0.012631872356251891,0.9379267329725798,4,5
11,638633.0590800949,37099,5,0.0007674862209154356,0.0010551229890674652,0.008440983912539722,0.9722824211441757,4,5
11,638633.0590800949,37099,6,0.00040734639552564414,0.0005845940136923034,0.004676752109538427,0.9914914050770308,4,5
11,638633.0590800949,37099,7,2.4329750860458896e-17,2.5436756099471465e-17,2.0349404879577172e-16,1.0,4,5
11,638633.0590800949,37099,8,4.1544848480455296e-18,5.585855216247904e-18,4.468684172998323e-17,1.0,4,5
12,1366996.8466130418,75149,0,0.007183679277430233,0.009672308707887366,0.07737846966309893,0.0,3,4
12,1366996.8466130418,75149,1,0.004336865102996322,0.005760863261426165,0.04608690609140932,0.6452561823642055,3,4
12,1366996.8466130418,75149,2,0.003180678355841441,0.004221769897343456,0.03377415917874765,0.8094851561225437,3,4
12,1366996.8466130418,75149,3,0.0017415849083045514,0.0023311836961701525,0.01864946956936122,0.9419111611283542,3,4
12,1366996.8466130418,75149,4,0.0011795176995379943,0.001699204335224019,0.013593634681792153,0.969137513267293,3,4
12,1366996.8466130418,75149,5,0.0007514012808104792,0.0010395200679905996,0.008316160543924797,0.9884493757270908,3,4
12,1366996.8466130418,75149,6,0.0001893034094321096,0.00027639290278180106,0.0022111432222544085,0.9991834298963481,3,4
12,1366996.8466130418,75149,7,2.363693084916408e-17,2.5921417245809117e-17,2.0737133796647294e-16,0.9999999999999999,3,4
12,1366996.8466130418,75149,8,7.723828748215948e-18,1.090175913394094e-17,8.721407307152752e-17,0.9999999999999999,3,4
